URL,Reported,HarrisWalz DEM,TrumpVance GOP,TrumpVance CON,HarrisWalz WFP,WRITE IN,HarrisWalz,TrumpVance
https://enr.boenyc.gov/CD26825AD750.html,97.17%,38300.0,7699.0,544.0,2282.0,929,40582.0,8243.0
https://enr.boenyc.gov/CD26825AD760.html,94.83%,43368.0,10896.0,644.0,1905.0,1133,45273.0,11540.0
https://enr.boenyc.gov/CD26825AD770.html,95.60%,18319.0,6519.0,399.0,583.0,196,18902.0,6918.0
https://enr.boenyc.gov/CD26825AD780.html,97.62%,16066.0,7166.0,474.0,686.0,258,16752.0,7640.0
https://enr.boenyc.gov/CD26825AD790.html,98.89%,19996.0,5692.0,474.0,695.0,188,20691.0,6166.0
https://enr.boenyc.gov/CD26825AD800.html,98.86%,20014.0,10001.0,718.0,937.0,594,20951.0,10719.0
https://enr.boenyc.gov/CD26825AD810.html,97.37%,26198.0,9886.0,835.0,1829.0,705,28027.0,10721.0
https://enr.boenyc.gov/CD26825AD820.html,98.84%,27152.0,14067.0,1230.0,1247.0,449,28399.0,15297.0
https://enr.boenyc.gov/CD26825AD830.html,97.56%,29392.0,3888.0,407.0,764.0,229,30156.0,4295.0
https://enr.boenyc.gov/CD26825AD840.html,98.94%,19561.0,6733.0,521.0,951.0,265,20512.0,7254.0
https://enr.boenyc.gov/CD26825AD850.html,96.55%,20306.0,6279.0,480.0,790.0,235,21096.0,6759.0
https://enr.boenyc.gov/CD26825AD860.html,97.67%,15920.0,7486.0,413.0,495.0,206,16415.0,7899.0
https://enr.boenyc.gov/CD26825AD870.html,98.61%,21563.0,7311.0,563.0,921.0,631,22484.0,7874.0
