GEOID,votes_Biden_20,votes_Trump_20,votes_total_20,margin_Biden_20,votes_Curran_21,pct_Curran_21,margin_Curran_21_ifwon,votes_Blakeman_21,votes_total_21,pct_Blakeman_21,margin_Blakeman_21_ifwon,margin_21,margin_Curran_21,pct_Biden_20,pct_Trump_20,margin_Curran_21_relto_Biden_20,Town
36059-0217035,555,321,881,26.6,230,59.59,19.17,156,386,40.41,0,19.18,19.18,62.99659478,36.43586833,-3.406594779,2
36059-0217039,327,411,752,-11.2,113,38.44,0,181,294,61.56,23.13,-23.12,-23.12,43.48404255,54.65425532,-5.044042553,2
36059-0217041,383,539,930,-16.8,120,36.7,0,207,327,63.3,26.61,-26.6,-26.6,41.1827957,57.95698925,-4.482795699,2
36059-0217040,252,264,521,-2.3,77,44.51,0,96,173,55.49,10.98,-10.98,-10.98,48.36852207,50.67178503,-3.858522073,2
36059-0217042,253,364,625,-17.8,76,36.71,0,131,207,63.29,26.57,-26.58,-26.58,40.48,58.24,-3.77,2
36059-0217043,299,566,876,-30.5,111,30.92,0,248,359,69.08,38.16,-38.16,-38.16,34.13242009,64.61187215,-3.212420091,2
36059-0217044,276,299,590,-3.9,89,44.5,0,111,200,55.5,11,-11,-11,46.77966102,50.6779661,-2.279661017,2
36059-0217046,386,322,720,8.9,140,48.44,0,149,289,51.56,3.11,-3.12,-3.12,53.61111111,44.72222222,-5.171111111,2
36059-0217048,250,344,597,-15.7,78,31.71,0,168,246,68.29,36.59,-36.58,-36.58,41.8760469,57.62144054,-10.1660469,2
36059-0217049,352,425,784,-9.3,92,33.95,0,179,271,66.05,32.1,-32.1,-32.1,44.89795918,54.20918367,-10.94795918,2
36059-0217054,482,662,1158,-15.5,169,38.58,0,269,438,61.42,22.83,-22.84,-22.84,41.62348877,57.16753022,-3.043488774,2
36059-0217055,395,420,828,-3,125,37.88,0,205,330,62.12,24.24,-24.24,-24.24,47.70531401,50.72463768,-9.82531401,2
36059-0217060,394,519,925,-13.5,123,38.32,0,198,321,61.68,23.36,-23.36,-23.36,42.59459459,56.10810811,-4.274594595,2
36059-0217063,109,130,241,-8.7,39,38.24,0,63,102,61.76,23.53,-23.52,-23.52,45.22821577,53.94190871,-6.988215768,2
36059-0218016,605,68,683,78.6,161,87.98,76.5,21,183,11.48,0,76.5,76.5,88.57979502,9.956076135,-0.599795022,2
36059-0217056,329,416,748,-11.6,100,36.1,0,177,277,63.9,27.8,-27.8,-27.8,43.98395722,55.61497326,-7.883957219,2
36059-0217059,257,438,701,-25.8,94,32.3,0,197,291,67.7,35.4,-35.4,-35.4,36.66191155,62.48216833,-4.361911555,2
36059-0218028,468,210,690,37.4,152,61.54,23.08,95,247,38.46,0,23.08,23.08,67.82608696,30.43478261,-6.286086957,2
36059-0218024,404,30,435,86,103,91.15,82.3,10,113,8.85,0,82.3,82.3,92.87356322,6.896551724,-1.723563218,2
36059-0218005,553,71,627,76.9,92,87.62,75.24,13,105,12.38,0,75.24,75.24,88.19776715,11.32376396,-0.577767145,2
36059-0218006,659,84,747,77,157,89.71,79.43,18,175,10.29,0,79.42,79.42,88.21954485,11.24497992,1.490455154,2
36059-0218007,412,21,437,89.5,99,90,80,11,110,10,0,80,80,94.2791762,4.805491991,-4.279176201,2
36059-0218008,449,54,506,78.1,102,92.73,85.45,8,110,7.27,0,85.46,85.46,88.73517787,10.67193676,3.994822134,2
36059-0218012,511,31,544,88.2,104,92.86,85.71,8,112,7.14,0,85.72,85.72,93.93382353,5.698529412,-1.073823529,2
36059-0218009,480,60,547,76.8,94,86.24,73.39,14,109,12.84,0,73.4,73.4,87.75137112,10.96892139,-1.511371115,2
36059-0218013,640,54,699,83.8,175,93.09,86.17,13,188,6.91,0,86.18,86.18,91.55937053,7.725321888,1.530629471,2
36059-0218010,503,34,540,86.9,132,90.41,80.82,14,146,9.59,0,80.82,80.82,93.14814815,6.296296296,-2.738148148,2
36059-0218011,481,45,527,82.7,137,92.57,85.14,11,148,7.43,0,85.14,85.14,91.27134725,8.538899431,1.298652751,2
36059-0218014,453,65,522,74.3,84,82.35,64.71,18,102,17.65,0,64.7,64.7,86.7816092,12.45210728,-4.431609195,2
36059-0218015,686,74,764,80.1,165,85.05,70.1,29,194,14.95,0,70.1,70.1,89.79057592,9.685863874,-4.740575916,2
36059-0218018,937,106,1046,79.4,271,92.18,84.35,23,294,7.82,0,84.36,84.36,89.5793499,10.13384321,2.600650096,2
36059-0218025,236,20,261,82.8,108,92.31,84.62,9,117,7.69,0,84.62,84.62,90.42145594,7.662835249,1.888544061,2
36059-0218029,564,245,821,38.9,144,57.37,14.74,107,251,42.63,0,14.74,14.74,68.69671133,29.84165652,-11.32671133,2
36059-0218031,942,45,994,90.2,266,92.36,84.72,22,288,7.64,0,84.72,84.72,94.76861167,4.527162978,-2.40861167,2
36059-0218032,641,39,688,87.5,190,93.14,86.27,14,204,6.86,0,86.28,86.28,93.16860465,5.668604651,-0.028604651,2
36059-0218038,737,82,831,78.8,229,87.4,74.81,33,262,12.6,0,74.8,74.8,88.68832732,9.867629362,-1.288327316,2
36059-0218040,703,102,810,74.2,188,87.04,74.07,28,216,12.96,0,74.08,74.08,86.79012346,12.59259259,0.249876543,2
36059-0218041,809,67,883,84,245,93.16,86.31,18,263,6.84,0,86.32,86.32,91.61947905,7.587768969,1.540520951,2
36059-0218042,520,40,565,85,207,92.41,84.82,17,224,7.59,0,84.82,84.82,92.03539823,7.079646018,0.37460177,2
36059-0218047,465,54,524,78.4,140,89.74,79.49,16,156,10.26,0,79.48,79.48,88.74045802,10.30534351,0.999541985,2
36059-0218051,211,16,228,85.5,60,92.31,84.62,5,65,7.69,0,84.62,84.62,92.54385965,7.01754386,-0.233859649,2
36059-0218052,536,55,594,81,116,85.93,71.85,19,135,14.07,0,71.86,71.86,90.23569024,9.259259259,-4.305690236,2
36059-0218062,187,16,205,83.4,55,85.94,71.88,9,64,14.06,0,71.88,71.88,91.2195122,7.804878049,-5.279512195,2
36059-0218054,469,46,521,81.2,125,85.62,71.23,21,146,14.38,0,71.24,71.24,90.01919386,8.829174664,-4.399193858,2
36059-0218057,302,57,361,67.9,83,79.05,58.1,22,105,20.95,0,58.1,58.1,83.6565097,15.78947368,-4.606509695,2
36059-0218058,529,108,638,66,108,74.48,48.97,37,145,25.52,0,48.96,48.96,82.9153605,16.92789969,-8.435360502,2
36059-0218069,549,59,614,79.8,150,92.59,85.8,11,162,6.79,0,85.8,85.8,89.41368078,9.609120521,3.176319218,2
36059-0218072,141,149,292,-2.7,47,37.3,0,79,126,62.7,25.4,-25.4,-25.4,48.28767123,51.02739726,-10.98767123,2
36059-0218074,31,1,32,93.8,8,100,100,0,8,0,0,100,100,96.875,3.125,3.125,2
36059-0218082,484,217,705,37.9,202,72.66,45.32,76,278,27.34,0,45.32,45.32,68.65248227,30.78014184,4.00751773,2
36059-0218084,624,94,725,73.1,156,85.25,71.04,26,183,14.21,0,71.04,71.04,86.06896552,12.96551724,-0.818965517,2
36059-0218085,5,0,5,100,0,0,0,1,1,100,100,-100,-100,100,0,-100,2
36059-0218086,20,11,31,29,1,100,100,0,1,0,0,100,100,64.51612903,35.48387097,35.48387097,2
36059-0218093,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,2
36059-0218094,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,2
36059-0219003,247,434,692,-27,84,31.23,0,185,269,68.77,37.55,-37.54,-37.54,35.69364162,62.71676301,-4.463641618,2
36059-0219007,198,288,495,-18.2,59,31.38,0,129,188,68.62,37.23,-37.24,-37.24,40,58.18181818,-8.62,2
36059-0219010,181,302,491,-24.6,73,31.33,0,160,233,68.67,37.34,-37.34,-37.34,36.86354379,61.50712831,-5.533543788,2
36059-0219012,202,272,485,-14.4,73,33.8,0,143,216,66.2,32.41,-32.4,-32.4,41.64948454,56.08247423,-7.849484536,2
36059-0219018,523,458,1007,6.5,195,42.3,0,263,461,57.05,14.75,-14.75,-14.75,51.93644489,45.4816286,-9.636444886,2
36059-0219020,244,65,314,57,70,73.68,47.37,25,95,26.32,0,47.36,47.36,77.70700637,20.70063694,-4.027006369,2
36059-0219021,11,0,11,100,0,0,0,0,0,0,0,0,0,100,0,-100,2
36059-0219030,294,397,711,-14.5,100,35.84,0,179,279,64.16,28.32,-28.32,-28.32,41.35021097,55.83684951,-5.51021097,2
36059-0219024,248,264,520,-3.1,132,49.62,0,134,266,50.38,0.75,-0.76,-0.76,47.69230769,50.76923077,1.927692308,2
36059-0219023,280,345,634,-10.3,133,47.5,0,147,280,52.5,5,-5,-5,44.16403785,54.41640379,3.335962145,2
36059-0219027,175,44,223,58.7,46,77.97,55.93,13,59,22.03,0,55.94,55.94,78.47533632,19.7309417,-0.505336323,2
36059-0219028,333,472,820,-17,137,37.53,0,228,365,62.47,24.93,-24.94,-24.94,40.6097561,57.56097561,-3.079756098,2
36059-0219029,391,531,942,-14.9,165,38.11,0,268,433,61.89,23.79,-23.78,-23.78,41.507431,56.36942675,-3.397430998,2
36059-0219031,193,364,575,-29.7,92,40.17,0,137,229,59.83,19.65,-19.66,-19.66,33.56521739,63.30434783,6.604782609,2
36059-0219032,192,306,508,-22.4,84,34.85,0,157,241,65.15,30.29,-30.3,-30.3,37.79527559,60.23622047,-2.945275591,2
36059-0219037,214,387,614,-28.2,78,27.18,0,209,287,72.82,45.64,-45.64,-45.64,34.8534202,63.02931596,-7.673420195,2
36059-0219038,103,179,288,-26.4,52,39.1,0,81,133,60.9,21.8,-21.8,-21.8,35.76388889,62.15277778,3.336111111,2
36059-0219039,436,483,942,-5,166,41.19,0,237,403,58.81,17.62,-17.62,-17.62,46.28450106,51.27388535,-5.094501062,2
36059-0219042,237,402,653,-25.3,104,35.25,0,191,295,64.75,29.49,-29.5,-29.5,36.29402757,61.56202144,-1.044027565,2
36059-0219043,299,533,847,-27.6,136,35.14,0,250,387,64.6,29.46,-29.46,-29.46,35.30106257,62.92798111,-0.161062574,2
36059-0219049,345,369,721,-3.3,117,41.49,0,165,282,58.51,17.02,-17.02,-17.02,47.85020804,51.17891817,-6.360208044,2
36059-0219051,151,192,348,-11.8,74,42.53,0,100,174,57.47,14.94,-14.94,-14.94,43.3908046,55.17241379,-0.860804598,2
36059-0219053,365,322,693,6.2,99,41.6,0,139,238,58.4,16.81,-16.8,-16.8,52.66955267,46.46464646,-11.06955267,2
36059-0219055,0,1,1,-100,0,0,0,0,0,0,0,0,0,0,100,0,2
36059-0219058,133,206,343,-21.3,32,24.06,0,101,133,75.94,51.88,-51.88,-51.88,38.7755102,60.05830904,-14.7155102,2
36059-0219059,7,2,9,55.6,1,100,100,0,1,0,0,100,100,77.77777778,22.22222222,22.22222222,2
36059-0220002,455,422,892,3.7,188,48.45,0,200,388,51.55,3.09,-3.1,-3.1,51.00896861,47.30941704,-2.55896861,2
36059-0220007,170,330,509,-31.4,59,34.1,0,114,173,65.9,31.79,-31.8,-31.8,33.39882122,64.83300589,0.701178782,2
36059-0220008,157,547,710,-54.9,92,32.17,0,194,286,67.83,35.66,-35.66,-35.66,22.11267606,77.04225352,10.05732394,2
36059-0220014,311,370,684,-8.6,120,43.48,0,156,276,56.52,13.04,-13.04,-13.04,45.46783626,54.09356725,-1.987836257,2
36059-0220015,182,202,387,-5.2,64,42.11,0,88,152,57.89,15.79,-15.78,-15.78,47.02842377,52.19638243,-4.918423773,2
36059-0220016,299,270,581,5,167,52.68,5.36,150,317,47.32,0,5.36,5.36,51.46299484,46.47160069,1.217005164,2
36059-0220024,384,517,911,-14.6,117,44.15,0,148,265,55.85,11.7,-11.7,-11.7,42.15148189,56.75082327,1.998518112,2
36059-0220026,123,188,314,-20.7,43,42.57,0,58,101,57.43,14.85,-14.86,-14.86,39.17197452,59.87261146,3.398025478,2
36059-0220027,189,366,561,-31.6,84,38.71,0,133,217,61.29,22.58,-22.58,-22.58,33.68983957,65.24064171,5.020160428,2
36059-0220032,317,181,511,26.6,125,58.96,17.92,87,212,41.04,0,17.92,17.92,62.03522505,35.42074364,-3.075225049,2
36059-0220033,261,386,653,-19.1,118,43.54,0,153,271,56.46,12.92,-12.92,-12.92,39.96937213,59.11179173,3.570627871,2
36059-0220035,355,464,832,-13.1,104,36.24,0,183,287,63.76,27.53,-27.52,-27.52,42.66826923,55.76923077,-6.428269231,2
36059-0220039,390,480,877,-10.3,136,38.1,0,220,357,61.62,23.53,-23.52,-23.52,44.46978335,54.73204105,-6.369783352,2
36059-0220047,225,401,633,-27.8,108,38.71,0,171,279,61.29,22.58,-22.58,-22.58,35.5450237,63.34913112,3.164976303,2
36059-0218019,488,35,527,86,92,86.79,73.58,14,106,13.21,0,73.58,73.58,92.59962049,6.641366224,-5.809620493,2
36059-0218020,428,46,475,80.4,112,84.85,70.45,19,132,14.39,0,70.46,70.46,90.10526316,9.684210526,-5.255263158,2
36059-0218021,506,40,553,84.3,120,88.24,76.47,16,136,11.76,0,76.48,76.48,91.50090416,7.233273056,-3.260904159,2
36059-0218023,721,66,792,82.7,214,91.85,83.69,19,233,8.15,0,83.7,83.7,91.03535354,8.333333333,0.814646465,2
36059-0218022,955,87,1047,82.9,281,90.65,81.29,29,310,9.35,0,81.3,81.3,91.21298949,8.309455587,-0.562989494,2
36059-0218026,648,45,698,86.4,226,88.63,77.25,29,255,11.37,0,77.26,77.26,92.83667622,6.446991404,-4.206676218,2
36059-0218027,247,27,279,78.9,64,96.97,93.94,2,66,3.03,0,93.94,93.94,88.53046595,9.677419355,8.43953405,2
36059-0218033,734,55,795,85.4,206,88.41,76.82,27,233,11.59,0,76.82,76.82,92.32704403,6.918238994,-3.917044025,2
36059-0218030,550,42,597,85.1,173,88.72,77.44,22,195,11.28,0,77.44,77.44,92.12730318,7.035175879,-3.407303183,2
36059-0218034,370,363,741,0.9,146,46.2,0,169,316,53.48,7.28,-7.28,-7.28,49.93252362,48.98785425,-3.732523617,2
36059-0218055,475,104,595,62.4,118,72.39,44.79,45,163,27.61,0,44.78,44.78,79.83193277,17.4789916,-7.441932773,2
36059-0218035,514,62,581,77.8,145,90.06,80.12,16,161,9.94,0,80.12,80.12,88.46815835,10.67125645,1.591841652,2
36059-0218037,823,84,915,80.8,233,90.31,80.62,25,258,9.69,0,80.62,80.62,89.94535519,9.180327869,0.364644809,2
36059-0218046,676,60,743,82.9,175,86.21,72.41,28,203,13.79,0,72.42,72.42,90.98250336,8.075370121,-4.772503365,2
36059-0218036,17,4,21,61.9,2,100,100,0,2,0,0,100,100,80.95238095,19.04761905,19.04761905,2
36059-0218039,533,44,579,84.5,157,91.28,82.56,15,172,8.72,0,82.56,82.56,92.0552677,7.599309154,-0.775267703,2
36059-0218048,585,51,638,83.7,161,96.41,92.81,6,167,3.59,0,92.82,92.82,91.69278997,7.993730408,4.717210031,2
36059-0218060,575,65,644,79.2,255,90.75,81.49,26,281,9.25,0,81.5,81.5,89.28571429,10.0931677,1.464285714,2
36059-0218064,437,88,534,65.4,111,77.62,55.24,32,143,22.38,0,55.24,55.24,81.83520599,16.47940075,-4.215205993,2
36059-0218065,876,257,1143,54.2,179,75.21,50.84,58,238,24.37,0,50.84,50.84,76.64041995,22.48468941,-1.430419948,2
36059-0218067,512,58,574,79.1,141,91.56,83.12,13,154,8.44,0,83.12,83.12,89.19860627,10.10452962,2.361393728,2
36059-0218043,474,81,565,69.6,136,80,60.59,33,170,19.41,0,60.59,60.59,83.89380531,14.33628319,-3.89380531,2
36059-0218044,1034,72,1112,86.5,370,93.43,86.87,26,396,6.57,0,86.86,86.86,92.98561151,6.474820144,0.444388489,2
36059-0218045,518,49,570,82.3,155,94.51,89.02,9,164,5.49,0,89.02,89.02,90.87719298,8.596491228,3.632807018,2
36059-0218056,698,90,799,76.1,179,84.43,68.87,33,212,15.57,0,68.86,68.86,87.359199,11.2640801,-2.929198999,2
36059-0218079,239,63,305,57.7,59,73.75,47.5,21,80,26.25,0,47.5,47.5,78.36065574,20.6557377,-4.610655738,2
36059-0218080,436,48,488,79.5,100,89.29,78.57,12,112,10.71,0,78.58,78.58,89.3442623,9.836065574,-0.054262295,2
36059-0218049,682,46,734,86.6,202,93.09,86.18,15,217,6.91,0,86.18,86.18,92.91553134,6.267029973,0.174468665,2
36059-0218050,523,31,557,88.3,155,91.18,82.35,15,170,8.82,0,82.36,82.36,93.89587074,5.565529623,-2.715870736,2
36059-0218061,511,108,627,64.3,130,82.8,66.24,26,157,16.56,0,66.24,66.24,81.49920255,17.22488038,1.300797448,2
36059-0218063,715,99,823,74.8,267,85.85,71.7,44,311,14.15,0,71.7,71.7,86.87727825,12.0291616,-1.02727825,2
36059-0218068,578,81,670,74.2,144,84.71,70,25,170,14.71,0,70,70,86.26865672,12.08955224,-1.558656716,2
36059-0218090,349,39,392,79.1,71,89.87,79.75,8,79,10.13,0,79.74,79.74,89.03061224,9.948979592,0.839387755,2
36059-0218053,253,21,277,83.8,56,90.32,80.65,6,62,9.68,0,80.64,80.64,91.33574007,7.581227437,-1.015740072,2
36059-0218059,718,40,763,88.9,267,92.39,84.78,22,289,7.61,0,84.78,84.78,94.10222805,5.242463958,-1.712228047,2
36059-0218066,52,9,61,70.5,10,90.91,81.82,1,11,9.09,0,81.82,81.82,85.24590164,14.75409836,5.664098361,2
36059-0218070,78,37,116,35.3,0,0,0,0,0,0,0,0,0,67.24137931,31.89655172,-67.24137931,2
36059-0218071,279,211,493,13.8,100,53.19,6.38,88,188,46.81,0,6.38,6.38,56.59229209,42.79918864,-3.402292089,2
36059-0218073,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,2
36059-0218091,16,0,16,100,0,0,0,0,0,0,0,0,0,100,0,-100,2
36059-0218078,39,0,39,100,15,83.33,66.67,3,18,16.67,0,66.66,66.66,100,0,-16.67,2
36059-0218075,220,54,275,60.4,74,82.22,64.44,16,90,17.78,0,64.44,64.44,80,19.63636364,2.22,2
36059-0218076,522,63,592,77.5,118,87.41,74.81,17,135,12.59,0,74.82,74.82,88.17567568,10.64189189,-0.765675676,2
36059-0218077,6,3,9,33.3,0,0,0,0,0,0,0,0,0,66.66666667,33.33333333,-66.66666667,2
36059-0218081,709,502,1219,17,408,62.58,25.15,244,652,37.42,0,25.16,25.16,58.16242822,41.18129614,4.41757178,2
36059-0218088,302,57,361,67.9,79,81.44,62.89,18,97,18.56,0,62.88,62.88,83.6565097,15.78947368,-2.216509695,2
36059-0219013,399,357,768,5.5,155,51.32,2.98,146,302,48.34,0,2.98,2.98,51.953125,46.484375,-0.633125,2
36059-0219019,438,258,704,25.6,156,57.99,15.99,113,269,42.01,0,15.98,15.98,62.21590909,36.64772727,-4.225909091,2
36059-0219022,417,376,812,5,200,49.75,0,202,402,50.25,0.5,-0.5,-0.5,51.3546798,46.30541872,-1.604679803,2
36059-0218089,115,6,121,90.1,17,85,70,3,20,15,0,70,70,95.04132231,4.958677686,-10.04132231,2
36059-0219001,85,142,227,-25.1,23,28.4,0,58,81,71.6,43.21,-43.2,-43.2,37.44493392,62.55506608,-9.044933921,2
36059-0219015,171,165,341,1.8,76,43.68,0,98,174,56.32,12.64,-12.64,-12.64,50.14662757,48.38709677,-6.466627566,2
36059-0219016,394,320,724,10.2,124,45.42,0,149,273,54.58,9.16,-9.16,-9.16,54.4198895,44.19889503,-8.999889503,2
36059-0220006,269,362,648,-14.4,79,38.16,0,128,207,61.84,23.67,-23.68,-23.68,41.51234568,55.86419753,-3.352345679,2
36059-0219002,277,397,684,-17.5,80,33.76,0,157,237,66.24,32.49,-32.48,-32.48,40.49707602,58.04093567,-6.737076023,2
36059-0219006,216,350,573,-23.4,84,31.94,0,179,263,68.06,36.12,-36.12,-36.12,37.69633508,61.08202443,-5.756335079,2
36059-0219008,323,492,823,-20.5,114,34.34,0,218,332,65.66,31.33,-31.32,-31.32,39.24665857,59.78128797,-4.906658566,2
36059-0219009,393,528,936,-14.4,158,39.4,0,243,401,60.6,21.2,-21.2,-21.2,41.98717949,56.41025641,-2.587179487,2
36059-0219011,172,213,394,-10.4,52,35.14,0,96,148,64.86,29.73,-29.72,-29.72,43.65482234,54.06091371,-8.514822335,2
36059-0219004,352,596,965,-25.3,110,29.33,0,265,375,70.67,41.33,-41.34,-41.34,36.47668394,61.76165803,-7.146683938,2
36059-0219005,221,266,493,-9.1,77,36.49,0,134,211,63.51,27.01,-27.02,-27.02,44.82758621,53.95537525,-8.337586207,2
36059-0219014,317,304,633,2.1,122,45.52,0,146,268,54.48,8.96,-8.96,-8.96,50.07898894,48.02527646,-4.558988942,2
36059-0220025,248,429,686,-26.4,103,31.69,0,222,325,68.31,36.62,-36.62,-36.62,36.1516035,62.53644315,-4.461603499,2
36059-0219017,335,210,555,22.5,96,49.48,0,98,194,50.52,1.03,-1.04,-1.04,60.36036036,37.83783784,-10.88036036,2
36059-0219026,752,480,1243,21.9,368,68.15,36.3,172,540,31.85,0,36.3,36.3,60.49879324,38.61625101,7.651206758,2
36059-0219033,295,392,697,-13.9,139,43.57,0,180,319,56.43,12.85,-12.86,-12.86,42.32424677,56.241033,1.245753228,2
36059-0219060,8,7,15,6.7,5,71.43,42.86,2,7,28.57,0,42.86,42.86,53.33333333,46.66666667,18.09666667,2
36059-0219035,410,521,945,-11.7,195,40.71,0,283,479,59.08,18.37,-18.37,-18.37,43.38624339,55.13227513,-2.676243386,2
36059-0219034,124,130,259,-2.3,59,43.07,0,78,137,56.93,13.87,-13.86,-13.86,47.87644788,50.19305019,-4.806447876,2
36059-0219036,218,357,581,-23.9,103,42.56,0,139,242,57.44,14.88,-14.88,-14.88,37.52151463,61.44578313,5.03848537,2
36059-0219045,3,6,9,-33.3,0,0,0,1,1,100,100,-100,-100,33.33333333,66.66666667,-33.33333333,2
36059-0219046,11,13,24,-8.3,0,0,0,0,0,0,0,0,0,45.83333333,54.16666667,-45.83333333,2
36059-0419043,608,316,940,31.1,249,70.54,41.08,104,353,29.46,0,41.08,41.08,64.68085106,33.61702128,5.859148936,4
36059-0219040,309,496,825,-22.7,133,37.68,0,220,353,62.32,24.65,-24.64,-24.64,37.45454545,60.12121212,0.225454545,2
36059-0219041,374,483,880,-12.4,143,35.48,0,260,403,64.52,29.03,-29.04,-29.04,42.5,54.88636364,-7.02,2
36059-0219054,157,157,320,0,38,39.18,0,59,97,60.82,21.65,-21.64,-21.64,49.0625,49.0625,-9.8825,2
36059-0219044,254,407,672,-22.8,109,33.85,0,213,322,66.15,32.3,-32.3,-32.3,37.79761905,60.56547619,-3.947619048,2
36059-0219048,220,271,500,-10.2,90,34.48,0,171,261,65.52,31.03,-31.04,-31.04,44,54.2,-9.52,2
36059-0219050,382,371,766,1.4,98,36.43,0,171,269,63.57,27.14,-27.14,-27.14,49.8694517,48.43342037,-13.4394517,2
36059-0219052,140,171,317,-9.8,62,42.18,0,85,147,57.82,15.65,-15.64,-15.64,44.16403785,53.94321767,-1.984037855,2
36059-0219047,356,570,958,-22.3,176,39.73,0,267,443,60.27,20.54,-20.54,-20.54,37.16075157,59.49895616,2.569248434,2
36059-0219056,48,35,84,15.5,3,37.5,0,5,8,62.5,25,-25,-25,57.14285714,41.66666667,-19.64285714,2
36059-0219057,197,42,242,64,27,84.38,68.75,5,32,15.63,0,68.75,68.75,81.40495868,17.3553719,2.975041322,2
36059-0220003,235,288,528,-10,80,38.28,0,129,209,61.72,23.44,-23.44,-23.44,44.50757576,54.54545455,-6.227575758,2
36059-0220004,262,327,597,-10.9,91,40.44,0,134,225,59.56,19.11,-19.12,-19.12,43.88609715,54.77386935,-3.446097152,2
36059-0220018,333,388,729,-7.5,119,39.02,0,185,305,60.66,21.64,-21.64,-21.64,45.67901235,53.22359396,-6.659012346,2
36059-0220021,153,250,406,-23.9,64,36.36,0,112,176,63.64,27.27,-27.28,-27.28,37.68472906,61.57635468,-1.324729064,2
36059-0220010,226,445,679,-32.3,106,28.34,0,267,374,71.39,43.05,-43.05,-43.05,33.28424153,65.53755523,-4.944241532,2
36059-0220020,314,396,715,-11.5,97,36.19,0,171,268,63.81,27.61,-27.62,-27.62,43.91608392,55.38461538,-7.726083916,2
36059-0220011,186,610,815,-52,125,37.65,0,207,332,62.35,24.7,-24.7,-24.7,22.82208589,74.84662577,14.82791411,2
36059-0220013,282,553,853,-31.8,126,37.06,0,214,340,62.94,25.88,-25.88,-25.88,33.05978898,64.83001172,4.00021102,2
36059-0220019,402,323,732,10.8,148,51.39,2.78,140,288,48.61,0,2.78,2.78,54.91803279,44.12568306,-3.528032787,2
36059-0220017,233,157,393,19.3,65,58.56,17.12,46,111,41.44,0,17.12,17.12,59.28753181,39.94910941,-0.727531807,2
36059-0220088,3,10,13,-53.8,9,39.13,0,14,23,60.87,21.74,-21.74,-21.74,23.07692308,76.92307692,16.05307692,2
36059-0220028,515,493,1014,2.2,190,47.38,0,211,401,52.62,5.24,-5.24,-5.24,50.78895464,48.61932939,-3.408954635,2
36059-0220029,232,232,467,0,108,46.55,0,124,232,53.45,6.9,-6.9,-6.9,49.67880086,49.67880086,-3.128800857,2
36059-0220030,337,416,765,-10.3,129,35.73,0,231,361,63.99,28.25,-28.26,-28.26,44.05228758,54.37908497,-8.322287582,2
36059-0220031,358,367,734,-1.2,122,39.48,0,186,309,60.19,20.71,-20.71,-20.71,48.77384196,50,-9.293841962,2
36059-0220034,287,313,607,-4.3,97,39.27,0,150,247,60.73,21.46,-21.46,-21.46,47.28171334,51.56507414,-8.011713344,2
36059-0220077,311,512,840,-23.9,157,37.29,0,264,421,62.71,25.42,-25.42,-25.42,37.02380952,60.95238095,0.266190476,2
36059-0220040,518,391,916,13.9,214,53.9,7.81,183,397,46.1,0,7.8,7.8,56.55021834,42.68558952,-2.650218341,2
36059-0220038,484,374,861,12.8,205,55.56,11.11,164,369,44.44,0,11.12,11.12,56.21370499,43.43786295,-0.653704994,2
36059-0220048,177,466,654,-44.2,72,30.77,0,162,234,69.23,38.46,-38.46,-38.46,27.06422018,71.25382263,3.705779817,2
36059-0220052,151,755,921,-65.6,74,18.78,0,320,394,81.22,62.44,-62.44,-62.44,16.39522258,81.97611292,2.384777416,2
36059-0220049,198,400,604,-33.4,97,41.81,0,135,232,58.19,16.38,-16.38,-16.38,32.78145695,66.22516556,9.028543046,2
36059-0220057,182,89,272,34.2,28,58.33,16.67,20,48,41.67,0,16.66,16.66,66.91176471,32.72058824,-8.581764706,2
36059-0220050,267,220,493,9.5,49,36.84,0,84,133,63.16,26.32,-26.32,-26.32,54.15821501,44.62474645,-17.31821501,2
36059-0220051,157,367,524,-40.1,64,29.77,0,151,215,70.23,40.47,-40.46,-40.46,29.96183206,70.03816794,-0.191832061,2
36059-0220054,184,574,764,-51,70,25.18,0,208,278,74.82,49.64,-49.64,-49.64,24.08376963,75.13089005,1.096230366,2
36059-0220055,38,719,762,-89.4,67,17.49,0,316,383,82.51,65.01,-65.02,-65.02,4.98687664,94.35695538,12.50312336,2
36059-0220059,163,74,238,37.4,37,52.86,5.71,33,70,47.14,0,5.72,5.72,68.48739496,31.09243697,-15.62739496,2
36059-0220061,178,90,269,32.7,45,62.5,25,27,72,37.5,0,25,25,66.17100372,33.45724907,-3.671003717,2
36059-0220062,350,22,373,87.9,113,91.87,83.74,10,123,8.13,0,83.74,83.74,93.83378016,5.898123324,-1.963780161,2
36059-0220064,405,446,859,-4.8,159,40.56,0,233,392,59.44,18.88,-18.88,-18.88,47.14784633,51.92083818,-6.587846333,2
36059-0220065,317,450,773,-17.2,157,43.25,0,206,363,56.75,13.5,-13.5,-13.5,41.00905563,58.21474774,2.240944373,2
36059-0220067,499,322,832,21.3,273,67.57,35.15,131,404,32.43,0,35.14,35.14,59.97596154,38.70192308,7.594038462,2
