"","GEOID","votes_Biden_20","votes_Trump_20","votes_total_20","margin_Biden_20","votes_Curran_21","pct_Curran_21","margin_Curran_21_ifwon","votes_Blakeman_21","votes_total_21","pct_Blakeman_21","margin_Blakeman_21_ifwon","margin_21","margin_Curran_21","pct_Biden_20","pct_Trump_20","margin_Curran_21_relto_Biden_20"
"812","36059-0416115",2,3,5,-20,5,50,0,5,10,50,0,0,0,40,60,10
"813","36059-0416116",5,1,6,66.7,0,0,0,0,0,0,0,0,0,83.3333333333333,16.6666666666667,-83.3333333333333
"814","36059-0416117",404,189,599,35.9,235,74.84,49.68,79,314,25.16,0,49.68,49.68,67.4457429048414,31.5525876460768,7.39425709515861
"815","36059-0416118",1,0,1,100,0,0,0,0,0,0,0,0,0,100,0,-100
"816","36059-0419018",8,5,13,23.1,1,50,0,1,2,50,0,0,0,61.5384615384615,38.4615384615385,-11.5384615384615
"817","36059-0419001",281,254,544,5,89,43.84,0,114,203,56.16,12.32,-12.32,-12.32,51.6544117647059,46.6911764705882,-7.81441176470588
"818","36059-0419007",364,308,683,8.2,108,43.9,0,138,246,56.1,12.2,-12.2,-12.2,53.294289897511,45.095168374817,-9.39428989751098
"819","36059-0419008",234,193,431,9.5,49,42.61,0,66,115,57.39,14.78,-14.78,-14.78,54.292343387471,44.7795823665893,-11.682343387471
"820","36059-0419010",467,397,875,8,155,50.99,1.97,149,304,49.01,0,1.98,1.98,53.3714285714286,45.3714285714286,-2.38142857142857
"821","36059-0419011",379,356,747,3.1,108,44.63,0,134,242,55.37,10.74,-10.74,-10.74,50.7362784471218,47.6572958500669,-6.10627844712182
"822","36059-0419012",353,336,695,2.4,112,44.62,0,139,251,55.38,10.76,-10.76,-10.76,50.7913669064748,48.3453237410072,-6.17136690647482
"823","36059-0419013",317,445,766,-16.7,115,37.58,0,191,306,62.42,24.84,-24.84,-24.84,41.3838120104439,58.0939947780679,-3.80381201044386
"824","36059-0419016",400,362,768,4.9,104,38.81,0,164,268,61.19,22.39,-22.38,-22.38,52.0833333333333,47.1354166666667,-13.2733333333333
"825","36059-0419002",333,380,725,-6.5,97,37.02,0,165,262,62.98,25.95,-25.96,-25.96,45.9310344827586,52.4137931034483,-8.91103448275862
"826","36059-0419015",290,269,566,3.7,92,44.02,0,117,209,55.98,11.96,-11.96,-11.96,51.2367491166078,47.5265017667844,-7.21674911660777
"827","36059-0419003",218,161,381,15,66,46.81,0,75,141,53.19,6.38,-6.38,-6.38,57.2178477690289,42.257217847769,-10.4078477690289
"828","36059-0419005",253,202,461,11.1,83,55.7,11.41,66,149,44.3,0,11.4,11.4,54.880694143167,43.8177874186551,0.819305856832976
"829","36059-0419009",449,401,862,5.6,121,43.37,0,158,279,56.63,13.26,-13.26,-13.26,52.0881670533643,46.5197215777262,-8.71816705336427
"830","36059-0419004",285,187,477,20.5,71,49.31,0,72,144,50,0.69,-0.69,-0.69,59.748427672956,39.2033542976939,-10.438427672956
"831","36059-0419006",309,266,578,7.4,118,61.14,22.28,75,193,38.86,0,22.28,22.28,53.4602076124567,46.0207612456747,7.67979238754325
"832","36059-0419014",227,247,478,-4.2,74,42.05,0,102,176,57.95,15.91,-15.9,-15.9,47.489539748954,51.673640167364,-5.43953974895398
"833","36059-0419019",186,37,227,65.6,36,81.82,63.64,8,44,18.18,0,63.64,63.64,81.9383259911894,16.2995594713656,-0.118325991189437
"834","36059-0419020",367,384,764,-2.2,133,48.36,0,141,275,51.27,2.91,-2.91,-2.91,48.0366492146597,50.261780104712,0.323350785340317
"835","36059-0419021",344,305,657,5.9,131,48.7,0,138,269,51.3,2.6,-2.6,-2.6,52.3592085235921,46.4231354642314,-3.65920852359208
"836","36059-0419022",312,212,532,18.8,85,51.83,4.27,78,164,47.56,0,4.27,4.27,58.6466165413534,39.8496240601504,-6.81661654135338
"837","36059-0419023",595,317,926,30,203,62.27,24.54,123,326,37.73,0,24.54,24.54,64.2548596112311,34.2332613390929,-1.98485961123109
"838","36059-0419024",244,366,623,-19.6,126,44.68,0,155,282,54.96,10.28,-10.28,-10.28,39.1653290529695,58.7479935794543,5.5146709470305
"839","36059-0419025",260,259,522,0.2,101,46.76,0,115,216,53.24,6.48,-6.48,-6.48,49.8084291187739,49.6168582375479,-3.04842911877395
"840","36059-0419026",228,284,520,-10.8,84,37.67,0,139,223,62.33,24.66,-24.66,-24.66,43.8461538461538,54.6153846153846,-6.17615384615384
"841","36059-0419027",329,392,742,-8.5,153,46.79,0,174,327,53.21,6.42,-6.42,-6.42,44.3396226415094,52.8301886792453,2.45037735849056
"842","36059-0419028",420,345,771,9.7,162,50.47,0.93,159,321,49.53,0,0.94,0.94,54.4747081712062,44.7470817120623,-4.00470817120623
"843","36059-0419029",464,341,814,15.1,147,53.07,6.14,130,277,46.93,0,6.14,6.14,57.002457002457,41.8918918918919,-3.932457002457
"844","36059-0419030",185,183,370,0.5,71,45.22,0,86,157,54.78,9.55,-9.56,-9.56,50,49.4594594594595,-4.78
"845","36059-0419031",336,274,621,10,166,50.3,0.61,164,330,49.7,0,0.599999999999994,0.599999999999994,54.1062801932367,44.122383252818,-3.80628019323672
"846","36059-0419032",231,277,518,-8.9,111,42.86,0,148,259,57.14,14.29,-14.28,-14.28,44.5945945945946,53.4749034749035,-1.7345945945946
"847","36059-0419033",347,394,758,-6.2,171,55.52,11.04,137,308,44.48,0,11.04,11.04,45.778364116095,51.9788918205805,9.74163588390502
"848","36059-0419034",291,440,747,-19.9,141,39.17,0,219,360,60.83,21.67,-21.66,-21.66,38.9558232931727,58.9022757697456,0.21417670682731
"849","36059-0419035",261,329,596,-11.4,102,40.16,0,152,254,59.84,19.69,-19.68,-19.68,43.7919463087248,55.2013422818792,-3.63194630872484
"850","36059-0419036",174,297,482,-25.5,65,32.34,0,136,201,67.66,35.32,-35.32,-35.32,36.0995850622407,61.6182572614108,-3.75958506224066
"851","36059-0419037",294,337,641,-6.7,140,48.78,0,147,287,51.22,2.44,-2.44,-2.44,45.8658346333853,52.5741029641186,2.91416536661467
"852","36059-0419038",277,282,568,-0.9,98,47.34,0,109,207,52.66,5.31,-5.32,-5.32,48.7676056338028,49.6478873239437,-1.42760563380281
"853","36059-0419039",348,336,695,1.7,95,43.58,0,123,218,56.42,12.84,-12.84,-12.84,50.0719424460432,48.3453237410072,-6.49194244604317
"854","36059-0419040",360,388,765,-3.7,122,46.39,0,141,263,53.61,7.22,-7.22,-7.22,47.0588235294118,50.718954248366,-0.668823529411767
"855","36059-0419041",315,280,600,5.8,82,48.81,0,86,168,51.19,2.38,-2.38,-2.38,52.5,46.6666666666667,-3.69
"856","36059-0419042",129,106,236,9.7,39,63.93,27.87,22,61,36.07,0,27.86,27.86,54.6610169491525,44.9152542372881,9.26898305084746
"857","36059-0419044",373,268,651,16.1,147,53.26,6.52,129,276,46.74,0,6.52,6.52,57.2964669738863,41.1674347158218,-4.03646697388633
"858","36059-0419045",326,277,608,8.1,79,41.36,0,112,191,58.64,17.28,-17.28,-17.28,53.6184210526316,45.5592105263158,-12.2584210526316
"859","36059-0419046",421,435,877,-1.6,123,41.41,0,174,297,58.59,17.17,-17.18,-17.18,48.0045610034208,49.6009122006841,-6.59456100342076
"860","36059-0419047",173,186,362,-3.6,66,37.71,0,109,175,62.29,24.57,-24.58,-24.58,47.7900552486188,51.3812154696133,-10.0800552486188
"861","36059-0419048",269,397,680,-18.8,116,40.56,0,170,286,59.44,18.88,-18.88,-18.88,39.5588235294118,58.3823529411765,1.00117647058823
"862","36059-0419049",247,355,610,-17.7,120,44.61,0,149,269,55.39,10.78,-10.78,-10.78,40.4918032786885,58.1967213114754,4.11819672131148
"863","36059-0419050",177,343,527,-31.5,72,31.03,0,160,232,68.97,37.93,-37.94,-37.94,33.5863377609108,65.0853889943074,-2.55633776091081
"864","36059-0419051",113,111,229,0.9,38,52.78,5.56,34,72,47.22,0,5.56,5.56,49.3449781659389,48.471615720524,3.43502183406114
"865","36059-0419052",61,61,123,0,9,75,50,3,12,25,0,50,50,49.5934959349593,49.5934959349593,25.4065040650407
"866","36059-0419053",262,196,467,14.1,74,54.81,9.63,61,135,45.19,0,9.62,9.62,56.1027837259101,41.9700214132762,-1.29278372591006
"867","36059-0419054",124,117,242,2.9,28,44.44,0,35,63,55.56,11.11,-11.12,-11.12,51.2396694214876,48.3471074380165,-6.79966942148761
"868","36059-0419055",282,329,619,-7.6,97,37.16,0,163,261,62.45,25.29,-25.29,-25.29,45.5573505654281,53.1502423263328,-8.39735056542811
"869","36059-0419056",190,246,440,-12.7,77,41.4,0,109,186,58.6,17.2,-17.2,-17.2,43.1818181818182,55.9090909090909,-1.78181818181818
"870","36059-0419057",7,4,11,27.3,4,100,100,0,4,0,0,100,100,63.6363636363636,36.3636363636364,36.3636363636364
"871","36059-0419058",0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA
"872","36059-0419701",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"873","36059-0509002",241,517,766,-36,110,31.16,0,243,353,68.84,37.68,-37.68,-37.68,31.4621409921671,67.4934725848564,-0.3021409921671
"874","36059-0509004",341,684,1032,-33.2,117,25.77,0,337,454,74.23,48.46,-48.46,-48.46,33.0426356589147,66.2790697674419,-7.27263565891473
"875","36059-0509006",275,500,785,-28.7,100,32.36,0,209,309,67.64,35.28,-35.28,-35.28,35.031847133758,63.6942675159236,-2.67184713375796
"876","36059-0509007",227,480,714,-35.4,78,28.16,0,199,277,71.84,43.68,-43.68,-43.68,31.7927170868347,67.2268907563025,-3.63271708683473
"877","36059-0509008",341,617,975,-28.3,133,30.02,0,310,443,69.98,39.95,-39.96,-39.96,34.974358974359,63.2820512820513,-4.95435897435897
"878","36059-0509009",494,279,785,27.4,177,59,18,123,300,41,0,18,18,62.9299363057325,35.5414012738853,-3.92993630573248
"879","36059-0509011",295,596,902,-33.4,127,32.4,0,265,392,67.6,35.2,-35.2,-35.2,32.7050997782705,66.0753880266075,-0.30509977827051
"880","36059-0509012",380,456,847,-9,165,45.08,0,201,366,54.92,9.84,-9.84,-9.84,44.8642266824085,53.8370720188902,0.215773317591498
"881","36059-0509014",274,514,796,-30.2,116,31.69,0,250,366,68.31,36.61,-36.62,-36.62,34.4221105527638,64.572864321608,-2.73211055276382
"882","36059-0509017",335,496,842,-19.1,112,35.9,0,200,312,64.1,28.21,-28.2,-28.2,39.7862232779097,58.9073634204276,-3.88622327790974
"883","36059-0509018",316,534,868,-25.1,146,37.82,0,240,386,62.18,24.35,-24.36,-24.36,36.4055299539171,61.5207373271889,1.41447004608295
"884","36059-0509020",250,468,728,-29.9,112,34.04,0,217,329,65.96,31.91,-31.92,-31.92,34.3406593406593,64.2857142857143,-0.300659340659344
"885","36059-0509021",232,350,592,-19.9,82,34.31,0,157,239,65.69,31.38,-31.38,-31.38,39.1891891891892,59.1216216216216,-4.87918918918918
"886","36059-0509022",803,344,1159,39.6,208,68.65,37.62,94,303,31.02,0,37.63,37.63,69.2838654012079,29.6807592752373,-0.633865401207927
"887","36059-0509001",311,811,1126,-44.4,142,27.1,0,382,524,72.9,45.8,-45.8,-45.8,27.6198934280639,72.0248667850799,-0.519893428063941
"888","36059-0509003",282,573,868,-33.5,117,32.41,0,244,361,67.59,35.18,-35.18,-35.18,32.4884792626728,66.0138248847926,-0.0784792626728148
"889","36059-0509013",293,738,1042,-42.7,113,25,0,338,452,74.78,49.78,-49.78,-49.78,28.1190019193858,70.8253358925144,-3.11900191938579
"890","36059-0509016",206,434,650,-35.1,80,28.27,0,203,283,71.73,43.46,-43.46,-43.46,31.6923076923077,66.7692307692308,-3.42230769230769
"891","36059-0509005",316,596,917,-30.5,114,29.53,0,272,386,70.47,40.93,-40.94,-40.94,34.4601962922574,64.9945474372955,-4.93019629225736
"892","36059-0509010",289,498,792,-26.4,125,34.53,0,237,362,65.47,30.94,-30.94,-30.94,36.489898989899,62.8787878787879,-1.95989898989899
"893","36059-0509019",234,402,647,-26,106,37.32,0,177,284,62.32,25,-25,-25,36.1669242658423,62.1329211746522,1.15307573415765
"894","36059-0509023",285,332,623,-7.5,83,40.29,0,122,206,59.22,18.93,-18.93,-18.93,45.7463884430177,53.2905296950241,-5.45638844301766
"895","36059-0509024",237,463,705,-32.1,106,33.97,0,206,312,66.03,32.05,-32.06,-32.06,33.6170212765957,65.6737588652482,0.352978723404256
"896","36059-0509025",317,622,955,-31.9,113,27.36,0,300,413,72.64,45.28,-45.28,-45.28,33.1937172774869,65.130890052356,-5.83371727748691
"897","36059-0509026",297,544,853,-29,151,35.95,0,269,420,64.05,28.1,-28.1,-28.1,34.8182883939039,63.7749120750293,1.13171160609613
"898","36059-0509027",316,659,992,-34.6,155,32.29,0,325,480,67.71,35.42,-35.42,-35.42,31.8548387096774,66.4314516129032,0.435161290322579
"899","36059-0509028",212,417,642,-31.9,113,36.93,0,193,306,63.07,26.14,-26.14,-26.14,33.0218068535826,64.9532710280374,3.90819314641745
"900","36059-0509029",337,527,876,-21.7,142,36.98,0,242,384,63.02,26.04,-26.04,-26.04,38.4703196347032,60.1598173515982,-1.4903196347032
"901","36059-0509030",311,556,873,-28.1,133,33.08,0,268,402,66.67,33.58,-33.59,-33.59,35.6242840778923,63.68843069874,-2.54428407789233
"902","36059-0509031",172,397,577,-39,84,28.77,0,206,292,70.55,41.78,-41.78,-41.78,29.8093587521664,68.8041594454073,-1.03935875216638
"903","36059-0509032",256,322,586,-11.3,82,38.68,0,130,212,61.32,22.64,-22.64,-22.64,43.6860068259386,54.9488054607509,-5.00600682593857
"904","36059-0509033",669,467,1144,17.7,220,53.4,6.8,192,412,46.6,0,6.8,6.8,58.479020979021,40.8216783216783,-5.07902097902098
"905","36059-0509034",212,251,475,-8.2,82,42.27,0,112,194,57.73,15.46,-15.46,-15.46,44.6315789473684,52.8421052631579,-2.36157894736841
"906","36059-0509035",187,359,548,-31.4,77,32.08,0,163,240,67.92,35.83,-35.84,-35.84,34.1240875912409,65.5109489051095,-2.04408759124087
"907","36059-0509036",131,254,388,-31.7,59,38.06,0,96,155,61.94,23.87,-23.88,-23.88,33.7628865979381,65.4639175257732,4.29711340206186
"908","36059-0509037",217,427,657,-32,91,32.04,0,193,284,67.96,35.92,-35.92,-35.92,33.0289193302892,64.9923896499239,-0.988919330289193
"909","36059-0509038",330,411,757,-10.7,129,45.58,0,154,283,54.42,8.83,-8.84,-8.84,43.5931307793923,54.2932628797886,1.98686922060766
"910","36059-0509039",306,177,492,26.2,70,52.63,5.26,63,133,47.37,0,5.26,5.26,62.1951219512195,35.9756097560976,-9.56512195121951
"911","36059-0509040",180,280,468,-21.4,63,33.51,0,125,188,66.49,32.98,-32.98,-32.98,38.4615384615385,59.8290598290598,-4.95153846153846
"912","36059-0509041",261,333,599,-12,88,40.74,0,126,216,58.33,17.59,-17.59,-17.59,43.5726210350584,55.5926544240401,-2.83262103505843
"913","36059-0509042",130,157,292,-9.2,44,40.37,0,65,109,59.63,19.27,-19.26,-19.26,44.5205479452055,53.7671232876712,-4.15054794520548
"914","36059-0509043",206,228,436,-5,55,37.41,0,92,147,62.59,25.17,-25.18,-25.18,47.2477064220183,52.2935779816514,-9.83770642201835
"915","36059-0509044",103,85,193,9.3,37,52.11,4.23,34,71,47.89,0,4.22,4.22,53.3678756476684,44.0414507772021,-1.25787564766839
"916","36059-0509045",6,9,16,-18.8,0,0,0,0,0,0,0,0,0,37.5,56.25,-37.5
