"","GEOID","votes_Biden_20","votes_Trump_20","votes_total_20","margin_Biden_20","votes_Curran_21","pct_Curran_21","margin_Curran_21_ifwon","votes_Blakeman_21","votes_total_21","pct_Blakeman_21","margin_Blakeman_21_ifwon","margin_21","margin_Curran_21","pct_Biden_20","pct_Trump_20","margin_Curran_21_relto_Biden_20"
"917","36059-0513001",102,135,239,-13.8,14,82.35,64.71,3,17,17.65,0,64.7,64.7,42.6778242677824,56.4853556485356,39.6721757322176
"918","36059-0513002",120,129,249,-3.6,50,45.45,0,60,110,54.55,9.09,-9.1,-9.1,48.1927710843374,51.8072289156626,-2.74277108433735
"919","36059-0513003",23,23,47,0,5,100,100,0,5,0,0,100,100,48.936170212766,48.936170212766,51.063829787234
"920","36059-0513005",306,377,700,-10.1,143,43.87,0,183,326,56.13,12.27,-12.26,-12.26,43.7142857142857,53.8571428571429,0.155714285714282
"921","36059-0513006",95,100,196,-2.6,33,41.25,0,47,80,58.75,17.5,-17.5,-17.5,48.469387755102,51.0204081632653,-7.21938775510204
"922","36059-0513007",338,289,638,7.7,123,49,0,128,251,51,1.99,-2,-2,52.9780564263323,45.2978056426332,-3.97805642633229
"923","36059-0513009",167,122,296,15.2,39,44.32,0,49,88,55.68,11.36,-11.36,-11.36,56.4189189189189,41.2162162162162,-12.0989189189189
"924","36059-0513012",336,244,583,15.8,125,55.07,10.13,102,227,44.93,0,10.14,10.14,57.6329331046312,41.852487135506,-2.56293310463122
"925","36059-0513013",615,376,1000,23.9,190,55.39,10.79,153,343,44.61,0,10.78,10.78,61.5,37.6,-6.11
"926","36059-0513014",566,342,921,24.3,162,57.65,15.3,119,281,42.35,0,15.3,15.3,61.4549402823018,37.1335504885993,-3.80494028230185
"927","36059-0513015",938,449,1394,35.1,337,64.56,29.12,185,522,35.44,0,29.12,29.12,67.2883787661406,32.2094691535151,-2.72837876614059
"928","36059-0513022",399,224,627,27.9,131,58.22,16.44,94,225,41.78,0,16.44,16.44,63.6363636363636,35.725677830941,-5.41636363636363
"929","36059-0513023",504,236,747,35.9,159,67.37,35.17,76,236,32.2,0,35.17,35.17,67.4698795180723,31.5930388219545,-0.0998795180722851
"930","36059-0513026",504,274,785,29.3,184,59.93,19.87,123,307,40.07,0,19.86,19.86,64.203821656051,34.9044585987261,-4.27382165605096
"931","36059-0513025",500,163,668,50.4,180,72.87,45.75,67,247,27.13,0,45.74,45.74,74.8502994011976,24.4011976047904,-1.9802994011976
"932","36059-0513027",735,356,1103,34.4,288,66.21,32.41,147,435,33.79,0,32.42,32.42,66.6364460562103,32.2756119673617,-0.426446056210338
"933","36059-0513028",510,262,784,31.6,164,58.16,16.31,118,282,41.84,0,16.32,16.32,65.0510204081633,33.4183673469388,-6.89102040816327
"934","36059-0513031",358,455,826,-11.7,167,47.31,0,186,353,52.69,5.38,-5.38,-5.38,43.3414043583535,55.0847457627119,3.96859564164649
"935","36059-0513032",212,361,580,-25.7,82,34.45,0,156,238,65.55,31.09,-31.1,-31.1,36.551724137931,62.2413793103448,-2.10172413793103
"936","36059-0513033",264,229,497,7,78,45.88,0,92,170,54.12,8.24,-8.24,-8.24,53.1187122736419,46.0764587525151,-7.23871227364185
"937","36059-0513035",490,226,728,36.3,213,66.56,33.75,105,320,32.81,0,33.75,33.75,67.3076923076923,31.043956043956,-0.747692307692304
"938","36059-0513036",361,235,605,20.8,155,60.55,21.09,101,256,39.45,0,21.1,21.1,59.6694214876033,38.8429752066116,0.880578512396688
"939","36059-0513039",364,190,559,31.1,134,64.42,28.85,74,208,35.58,0,28.84,28.84,65.1162790697674,33.9892665474061,-0.696279069767442
"940","36059-0513043",246,152,406,23.2,93,57.41,14.81,69,162,42.59,0,14.82,14.82,60.5911330049261,37.4384236453202,-3.18113300492611
"941","36059-0513044",397,256,660,21.4,141,56.18,12.35,110,251,43.82,0,12.36,12.36,60.1515151515151,38.7878787878788,-3.97151515151515
"942","36059-0513047",427,300,735,17.3,102,46.15,0,119,221,53.85,7.69,-7.7,-7.7,58.0952380952381,40.8163265306122,-11.9452380952381
"943","36059-0513049",481,341,838,16.7,171,52.78,5.56,153,324,47.22,0,5.56,5.56,57.3985680190931,40.6921241050119,-4.61856801909308
"944","36059-0513050",375,200,584,30,93,46.04,0,109,202,53.96,7.92,-7.92,-7.92,64.2123287671233,34.2465753424658,-18.1723287671233
"945","36059-0513051",476,199,690,40.1,143,59.09,18.18,99,242,40.91,0,18.18,18.18,68.9855072463768,28.8405797101449,-9.89550724637681
"946","36059-0513008",328,372,713,-6.2,115,40.64,0,168,283,59.36,18.73,-18.72,-18.72,46.0028050490884,52.1739130434783,-5.36280504908836
"947","36059-0513010",435,293,731,19.4,128,53.33,6.67,112,240,46.67,0,6.66,6.66,59.5075239398085,40.0820793433653,-6.17752393980848
"948","36059-0513011",455,250,712,28.8,130,55.79,12.02,102,233,43.78,0,12.01,12.01,63.9044943820225,35.1123595505618,-8.11449438202247
"949","36059-0513021",369,196,572,30.2,158,67.52,35.04,76,234,32.48,0,35.04,35.04,64.5104895104895,34.2657342657343,3.00951048951049
"950","36059-0513016",648,287,944,38.2,272,69.04,38.07,122,394,30.96,0,38.08,38.08,68.6440677966102,30.4025423728814,0.395932203389833
"951","36059-0513017",387,244,637,22.4,120,53.57,7.14,104,224,46.43,0,7.14,7.14,60.7535321821036,38.3045525902669,-7.18353218210361
"952","36059-0513020",12,5,17,41.2,0,0,0,3,3,100,100,-100,-100,70.5882352941177,29.4117647058824,-70.5882352941177
"953","36059-0513029",475,283,767,25,181,62.41,24.83,109,290,37.59,0,24.82,24.82,61.9295958279009,36.897001303781,0.480404172099085
"954","36059-0513037",504,246,759,34,219,67.59,35.19,105,324,32.41,0,35.18,35.18,66.403162055336,32.4110671936759,1.18683794466403
"955","36059-0513041",415,371,791,5.6,139,43.99,0,176,316,55.7,11.71,-11.71,-11.71,52.4652338811631,46.9026548672566,-8.47523388116308
"956","36059-0513018",245,236,489,1.8,88,45.13,0,107,195,54.87,9.74,-9.74,-9.74,50.1022494887526,48.2617586912065,-4.97224948875255
"957","36059-0513019",295,235,543,11,120,50.42,1.26,117,238,49.16,0,1.26,1.26,54.3278084714549,43.2780847145488,-3.90780847145488
"958","36059-0513024",470,198,675,40.3,198,66.67,33.33,99,297,33.33,0,33.34,33.34,69.6296296296296,29.3333333333333,-2.95962962962963
"959","36059-0513042",591,263,864,38,172,61.21,22.42,109,281,38.79,0,22.42,22.42,68.4027777777778,30.4398148148148,-7.19277777777777
"960","36059-0513030",366,310,683,8.2,119,53.13,6.7,104,224,46.43,0,6.7,6.7,53.5871156661786,45.3879941434846,-0.457115666178623
"961","36059-0513034",603,317,929,30.8,239,63.9,27.81,135,374,36.1,0,27.8,27.8,64.9085037674919,34.1227125941873,-1.00850376749192
"962","36059-0513038",488,216,712,38.2,175,61.84,23.67,108,283,38.16,0,23.68,23.68,68.5393258426966,30.3370786516854,-6.69932584269662
"963","36059-0513040",412,248,664,24.7,145,55.77,11.92,114,260,43.85,0,11.92,11.92,62.0481927710843,37.3493975903614,-6.27819277108433
"964","36059-0513045",315,211,536,19.4,134,58.26,16.52,96,230,41.74,0,16.52,16.52,58.7686567164179,39.365671641791,-0.50865671641791
"965","36059-0513046",459,318,784,18,138,47.1,0,155,293,52.9,5.8,-5.8,-5.8,58.5459183673469,40.5612244897959,-11.4459183673469
"966","36059-0513048",432,172,614,42.3,123,64.74,30,66,190,34.74,0,30,30,70.3583061889251,28.0130293159609,-5.61830618892509
"967","36059-0513052",452,216,674,35,126,55.75,11.95,99,226,43.81,0,11.94,11.94,67.0623145400593,32.0474777448071,-11.3123145400593
"968","36059-0513054",723,381,1115,30.7,242,60.35,20.7,159,401,39.65,0,20.7,20.7,64.8430493273543,34.1704035874439,-4.49304932735426
"969","36059-0513055",354,156,513,38.6,92,51.4,2.79,87,179,48.6,0,2.8,2.8,69.0058479532164,30.4093567251462,-17.6058479532164
"970","36059-0513056",506,245,754,34.6,112,48.48,0,119,231,51.52,3.03,-3.04,-3.04,67.1087533156499,32.4933687002653,-18.6287533156499
"971","36059-0513057",345,177,527,31.9,80,42.55,0,108,188,57.45,14.89,-14.9,-14.9,65.4648956356736,33.5863377609108,-22.9148956356736
"972","36059-0513058",407,177,592,38.9,113,55.12,10.24,92,205,44.88,0,10.24,10.24,68.75,29.8986486486486,-13.63
"973","36059-0513059",411,58,473,74.6,132,91.03,82.07,13,145,8.97,0,82.06,82.06,86.892177589852,12.262156448203,4.13782241014799
"974","36059-0513060",82,26,109,51.4,23,74.19,48.39,8,31,25.81,0,48.38,48.38,75.2293577981651,23.8532110091743,-1.03935779816514
"975","36059-0513061",9,3,12,50,2,66.67,33.33,1,3,33.33,0,33.34,33.34,75,25,-8.33
"976","36059-0513062",15,6,21,42.9,0,0,0,0,0,0,0,0,0,71.4285714285714,28.5714285714286,-71.4285714285714
"977","36059-0513063",7,0,7,100,0,0,0,0,0,0,0,0,0,100,0,-100
"978","36059-0513065",460,427,900,3.7,157,50.16,0.32,156,313,49.84,0,0.319999999999993,0.319999999999993,51.1111111111111,47.4444444444444,-0.951111111111118
"979","36059-0513066",282,164,460,25.7,133,64.56,29.13,73,206,35.44,0,29.12,29.12,61.304347826087,35.6521739130435,3.25565217391305
"980","36059-0513067",378,189,576,32.8,143,62.45,24.89,86,229,37.55,0,24.9,24.9,65.625,32.8125,-3.175
"981","36059-0513069",479,151,644,50.9,198,70.46,40.93,83,281,29.54,0,40.92,40.92,74.3788819875776,23.4472049689441,-3.91888198757765
"982","36059-0513070",630,314,965,32.7,275,61.11,22.22,175,450,38.89,0,22.22,22.22,65.2849740932643,32.5388601036269,-4.17497409326425
"983","36059-0513071",47,37,85,11.8,1,25,0,3,4,75,50,-50,-50,55.2941176470588,43.5294117647059,-30.2941176470588
"984","36059-0515001",373,404,788,-3.9,107,39.48,0,164,271,60.52,21.03,-21.04,-21.04,47.3350253807107,51.2690355329949,-7.85502538071066
"985","36059-0515002",270,292,568,-3.9,108,46.15,0,126,234,53.85,7.69,-7.7,-7.7,47.5352112676056,51.4084507042254,-1.38521126760563
"986","36059-0515003",404,463,885,-6.7,147,39.41,0,226,373,60.59,21.18,-21.18,-21.18,45.6497175141243,52.316384180791,-6.23971751412429
"987","36059-0515005",316,543,866,-26.2,131,31.04,0,291,422,68.96,37.91,-37.92,-37.92,36.4896073903002,62.70207852194,-5.44960739030023
"988","36059-0515007",128,195,324,-20.7,55,46.61,0,63,118,53.39,6.78,-6.78,-6.78,39.5061728395062,60.1851851851852,7.10382716049383
"989","36059-0515008",24,3,27,77.8,2,33.33,0,4,6,66.67,33.33,-33.34,-33.34,88.8888888888889,11.1111111111111,-55.5588888888889
"990","36059-0515009",211,254,475,-9.1,91,42.52,0,123,214,57.48,14.95,-14.96,-14.96,44.4210526315789,53.4736842105263,-1.90105263157894
"991","36059-0515010",541,581,1146,-3.5,185,43.53,0,239,425,56.24,12.71,-12.71,-12.71,47.2076788830716,50.6980802792321,-3.67767888307155
"992","36059-0515011",494,511,1019,-1.7,146,45.34,0,176,322,54.66,9.32,-9.32,-9.32,48.4789008832188,50.1472031403337,-3.13890088321884
"993","36059-0515012",33,20,54,24.1,2,66.67,33.33,1,3,33.33,0,33.34,33.34,61.1111111111111,37.037037037037,5.55888888888889
"994","36059-0515013",316,517,841,-23.9,133,40.67,0,194,327,59.33,18.65,-18.66,-18.66,37.5743162901308,61.474435196195,3.09568370986921
"995","36059-0515014",174,240,425,-15.5,69,38.76,0,109,178,61.24,22.47,-22.48,-22.48,40.9411764705882,56.4705882352941,-2.18117647058823
"996","36059-0515016",173,189,367,-4.4,87,48.33,0,93,180,51.67,3.33,-3.34,-3.34,47.1389645776567,51.4986376021798,1.19103542234333
"997","36059-0515019",191,208,406,-4.2,83,46.37,0,96,179,53.63,7.26,-7.26,-7.26,47.0443349753695,51.2315270935961,-0.674334975369462
"998","36059-0515020",221,294,522,-14,130,47.62,0,143,273,52.38,4.76,-4.76,-4.76,42.3371647509579,56.3218390804598,5.28283524904214
"999","36059-0515021",277,439,728,-22.3,146,41.48,0,206,352,58.52,17.05,-17.04,-17.04,38.0494505494505,60.3021978021978,3.43054945054945
"1000","36059-0515023",95,113,210,-8.6,33,38.37,0,53,86,61.63,23.26,-23.26,-23.26,45.2380952380952,53.8095238095238,-6.86809523809524
"1001","36059-0515024",301,285,595,2.7,116,48.74,0,122,238,51.26,2.52,-2.52,-2.52,50.5882352941176,47.8991596638655,-1.84823529411764
"1002","36059-0515026",41,27,69,20.3,1,50,0,1,2,50,0,0,0,59.4202898550725,39.1304347826087,-9.42028985507246
"1003","36059-0515028",398,296,712,14.3,152,48.87,0,159,311,51.13,2.25,-2.26,-2.26,55.8988764044944,41.5730337078652,-7.02887640449438
"1004","36059-0515030",346,299,650,7.2,137,50.55,1.11,134,271,49.45,0,1.1,1.1,53.2307692307692,46,-2.68076923076924
"1005","36059-0515031",289,262,560,4.8,99,45.83,0,117,216,54.17,8.33,-8.34,-8.34,51.6071428571429,46.7857142857143,-5.77714285714286
"1006","36059-0515032",268,258,533,1.9,57,38,0,93,150,62,24,-24,-24,50.281425891182,48.4052532833021,-12.281425891182
"1007","36059-0515033",575,422,1011,15.1,154,54.61,9.22,128,282,45.39,0,9.22,9.22,56.8743818001978,41.7408506429278,-2.26438180019782
"1008","36059-0515034",463,429,896,3.8,122,42.96,0,162,284,57.04,14.08,-14.08,-14.08,51.6741071428571,47.8794642857143,-8.71410714285715
"1009","36059-0515035",367,343,722,3.3,136,45.48,0,163,299,54.52,9.03,-9.04,-9.04,50.8310249307479,47.5069252077562,-5.35102493074793
"1010","36059-0515037",5,3,8,25,0,0,0,0,0,0,0,0,0,62.5,37.5,-62.5
"1011","36059-0515039",401,323,734,10.6,119,50.42,1.27,116,236,49.15,0,1.27,1.27,54.6321525885559,44.0054495912807,-4.21215258855586
"1012","36059-0515040",312,248,563,11.4,93,46.04,0,109,202,53.96,7.92,-7.92,-7.92,55.417406749556,44.0497335701599,-9.37740674955595
"1013","36059-0515041",98,78,178,11.2,28,53.85,7.69,24,52,46.15,0,7.7,7.7,55.0561797752809,43.8202247191011,-1.20617977528089
"1014","36059-0515042",131,91,223,17.9,19,39.58,0,29,48,60.42,20.83,-20.84,-20.84,58.7443946188341,40.8071748878924,-19.1643946188341
"1015","36059-0515043",281,233,520,9.2,85,44.27,0,106,192,55.21,10.94,-10.94,-10.94,54.0384615384615,44.8076923076923,-9.76846153846154
"1016","36059-0515045",291,228,525,12,78,46.71,0,88,167,52.69,5.99,-5.98,-5.98,55.4285714285714,43.4285714285714,-8.71857142857143
"1017","36059-0515046",211,222,437,-2.5,70,46.98,0,79,149,53.02,6.04,-6.04,-6.04,48.2837528604119,50.8009153318078,-1.3037528604119
"1018","36059-0515047",363,279,661,12.7,102,49.28,0,105,207,50.72,1.45,-1.44,-1.44,54.9167927382753,42.2087745839637,-5.63679273827534
"1019","36059-0515048",285,470,765,-24.2,173,44.82,0,212,386,54.92,10.1,-10.1,-10.1,37.2549019607843,61.437908496732,7.56509803921568
"1020","36059-0515049",455,449,908,0.7,145,46.77,0,165,310,53.23,6.45,-6.46,-6.46,50.1101321585903,49.4493392070485,-3.34013215859031
"1021","36059-0515050",387,376,770,1.4,139,47.44,0,154,293,52.56,5.12,-5.12,-5.12,50.2597402597403,48.8311688311688,-2.81974025974026
"1022","36059-0515051",373,374,758,-0.1,113,42.16,0,154,268,57.46,15.3,-15.3,-15.3,49.2084432717678,49.3403693931398,-7.04844327176782
"1023","36059-0515052",241,218,464,5,79,47.31,0,88,167,52.69,5.39,-5.38,-5.38,51.9396551724138,46.9827586206897,-4.62965517241379
"1024","36059-0515053",315,344,674,-4.3,91,42.52,0,123,214,57.48,14.95,-14.96,-14.96,46.7359050445104,51.0385756676558,-4.21590504451039
"1025","36059-0515054",336,285,633,8.1,89,44.72,0,110,199,55.28,10.55,-10.56,-10.56,53.0805687203791,45.0236966824645,-8.36056872037915
"1026","36059-0515056",540,454,1000,8.6,133,45.24,0,161,294,54.76,9.52,-9.52,-9.52,54,45.4,-8.76
"1027","36059-0515057",447,462,919,-1.6,171,44.3,0,215,386,55.7,11.4,-11.4,-11.4,48.6398258977149,50.272034820457,-4.33982589771491
"1028","36059-0515058",409,423,848,-1.7,158,47.59,0,173,332,52.11,4.52,-4.52,-4.52,48.2311320754717,49.8820754716981,-0.641132075471695
"1029","36059-0515059",459,357,831,12.3,156,50,0,156,312,50,0,0,0,55.2346570397112,42.9602888086643,-5.23465703971119
"1030","36059-0515060",358,345,712,1.8,124,48.44,0,132,256,51.56,3.12,-3.12,-3.12,50.2808988764045,48.4550561797753,-1.84089887640449
"1031","36059-0515061",273,272,550,0.2,79,39.3,0,122,201,60.7,21.39,-21.4,-21.4,49.6363636363636,49.4545454545455,-10.3363636363636
"1032","36059-0515062",175,146,326,8.9,46,44.66,0,57,103,55.34,10.68,-10.68,-10.68,53.680981595092,44.7852760736196,-9.02098159509202
"1033","36059-0515063",455,315,780,17.9,135,55.33,10.66,109,244,44.67,0,10.66,10.66,58.3333333333333,40.3846153846154,-3.00333333333334
"1034","36059-0515064",213,186,405,6.7,65,45.45,0,78,143,54.55,9.09,-9.1,-9.1,52.5925925925926,45.9259259259259,-7.14259259259259
"1035","36059-0515065",284,314,603,-5,98,43.75,0,126,224,56.25,12.5,-12.5,-12.5,47.0978441127695,52.0729684908789,-3.34784411276949
"1036","36059-0515066",125,139,265,-5.3,59,51.75,3.51,55,114,48.25,0,3.5,3.5,47.1698113207547,52.4528301886792,4.58018867924528
"1037","36059-0515067",306,343,654,-5.7,105,41.34,0,147,254,57.87,16.54,-16.53,-16.53,46.7889908256881,52.4464831804281,-5.44899082568807
"1038","36059-0515068",332,317,662,2.3,129,48.5,0,136,266,51.13,2.63,-2.63,-2.63,50.1510574018127,47.8851963746224,-1.65105740181269
"1039","36059-0515069",294,321,616,-4.4,76,40.64,0,111,187,59.36,18.72,-18.72,-18.72,47.7272727272727,52.1103896103896,-7.08727272727273
"1040","36059-0515070",212,246,464,-7.3,77,47.24,0,86,163,52.76,5.52,-5.52,-5.52,45.6896551724138,53.0172413793103,1.55034482758621
"1041","36059-0515071",335,348,689,-1.9,138,49.64,0,140,278,50.36,0.72,-0.72,-0.72,48.6211901306241,50.5079825834543,1.01880986937591
"1042","36059-0515072",193,288,488,-19.5,75,36.23,0,132,207,63.77,27.54,-27.54,-27.54,39.5491803278689,59.0163934426229,-3.31918032786886
"1043","36059-0515073",570,416,994,15.5,226,58.4,17.05,160,387,41.34,0,17.06,17.06,57.3440643863179,41.851106639839,1.05593561368209
"1044","36059-0515074",241,256,506,-3,71,37.97,0,116,187,62.03,24.06,-24.06,-24.06,47.6284584980237,50.5928853754941,-9.65845849802372
"1045","36059-0515075",67,37,108,27.8,5,100,100,0,5,0,0,100,100,62.037037037037,34.2592592592593,37.962962962963
"1046","36059-0515077",31,30,61,1.6,37,58.73,17.46,26,63,41.27,0,17.46,17.46,50.8196721311475,49.1803278688525,7.91032786885246
"1047","36059-0515078",182,303,489,-24.7,49,28,0,126,175,72,44,-44,-44,37.2188139059305,61.9631901840491,-9.21881390593047
"1048","36059-0515079",83,188,273,-38.5,24,22.64,0,82,106,77.36,54.72,-54.72,-54.72,30.4029304029304,68.8644688644689,-7.7629304029304
"1049","36059-0515080",295,486,788,-24.2,117,40.21,0,174,291,59.79,19.59,-19.58,-19.58,37.4365482233503,61.6751269035533,2.77345177664975
"1050","36059-0515081",385,624,1020,-23.4,135,34.09,0,261,396,65.91,31.82,-31.82,-31.82,37.7450980392157,61.1764705882353,-3.65509803921568
"1051","36059-0515082",333,517,864,-21.3,127,35.88,0,226,354,63.84,27.97,-27.96,-27.96,38.5416666666667,59.837962962963,-2.66166666666666
"1052","36059-0515083",295,451,755,-20.7,113,39.93,0,170,283,60.07,20.14,-20.14,-20.14,39.0728476821192,59.7350993377483,0.857152317880796
"1053","36059-0515085",201,269,478,-14.2,80,39.02,0,125,205,60.98,21.95,-21.96,-21.96,42.0502092050209,56.2761506276151,-3.03020920502092
"1054","36059-0515086",352,542,908,-20.9,118,34.81,0,221,339,65.19,30.38,-30.38,-30.38,38.7665198237885,59.6916299559471,-3.95651982378855
"1055","36059-0515087",0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA
"1056","36059-0515089",336,325,665,1.7,193,50.52,1.05,189,382,49.48,0,1.04,1.04,50.5263157894737,48.8721804511278,-0.00631578947368183
"1057","36059-0515090",474,496,996,-2.2,172,43.11,0,227,399,56.89,13.78,-13.78,-13.78,47.5903614457831,49.7991967871486,-4.48036144578313
"1058","36059-0515091",547,633,1205,-7.1,201,45.27,0,242,444,54.5,9.23,-9.23,-9.23,45.3941908713693,52.5311203319502,-0.124190871369294
"1059","36059-0515093",514,469,991,4.5,172,48.86,0,180,352,51.14,2.27,-2.28,-2.28,51.8668012108981,47.3259334006055,-3.00680121089808
"1060","36059-0515095",47,25,73,30.1,4,66.67,33.33,2,6,33.33,0,33.34,33.34,64.3835616438356,34.2465753424658,2.28643835616438
"1061","36059-0515098",964,435,1415,37.4,506,67.56,35.11,243,749,32.44,0,35.12,35.12,68.1272084805654,30.7420494699647,-0.56720848056537
"1062","36059-0515099",444,334,785,14,176,56.23,12.46,137,313,43.77,0,12.46,12.46,56.5605095541401,42.5477707006369,-0.330509554140129
"1063","36059-0515101",32,10,42,52.4,5,62.5,25,3,8,37.5,0,25,25,76.1904761904762,23.8095238095238,-13.6904761904762
"1064","36059-0515102",8,2,10,60,4,100,100,0,4,0,0,100,100,80,20,20
"1065","36059-0515103",178,201,382,-6,60,40,0,90,150,60,20,-20,-20,46.5968586387435,52.6178010471204,-6.59685863874346
"1066","36059-0515104",141,141,282,0,24,40.68,0,35,59,59.32,18.64,-18.64,-18.64,50,50,-9.32
"1067","36059-0515105",24,15,41,22,1,100,100,0,1,0,0,100,100,58.5365853658537,36.5853658536585,41.4634146341463
"1068","36059-0515106",144,143,288,0.3,42,43.3,0,54,97,55.67,12.37,-12.37,-12.37,50,49.6527777777778,-6.7
"1069","36059-0515107",0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA
"1070","36059-0517001",441,513,962,-7.5,147,43.36,0,192,339,56.64,13.27,-13.28,-13.28,45.8419958419958,53.3264033264033,-2.48199584199584
"1071","36059-0517003",41,35,76,7.9,2,14.29,0,12,14,85.71,71.43,-71.42,-71.42,53.9473684210526,46.0526315789474,-39.6573684210526
"1072","36059-0517004",370,508,889,-15.5,114,39.86,0,171,286,59.79,19.93,-19.93,-19.93,41.6197975253093,57.1428571428571,-1.75979752530934
"1073","36059-0517005",180,309,493,-26.2,82,43.16,0,108,190,56.84,13.68,-13.68,-13.68,36.5111561866126,62.6774847870183,6.64884381338742
"1074","36059-0517006",298,445,750,-19.6,104,35.25,0,191,295,64.75,29.49,-29.5,-29.5,39.7333333333333,59.3333333333333,-4.48333333333333
"1075","36059-0517007",379,690,1078,-28.8,163,36.55,0,283,446,63.45,26.91,-26.9,-26.9,35.1576994434137,64.0074211502783,1.39230055658627
"1076","36059-0517008",369,489,866,-13.9,142,41.04,0,204,346,58.96,17.92,-17.92,-17.92,42.6096997690531,56.4665127020785,-1.56969976905312
"1077","36059-0517009",210,296,511,-16.8,50,28.9,0,123,173,71.1,42.2,-42.2,-42.2,41.0958904109589,57.9256360078278,-12.1958904109589
"1078","36059-0517010",332,448,792,-14.6,131,39.7,0,199,330,60.3,20.61,-20.6,-20.6,41.9191919191919,56.5656565656566,-2.21919191919191
"1079","36059-0513053",216,123,341,27.3,68,59.65,19.3,46,114,40.35,0,19.3,19.3,63.3431085043988,36.0703812316716,-3.69310850439883
"1080","36059-0515004",245,318,568,-12.9,145,40.62,0,211,357,59.1,18.49,-18.48,-18.48,43.1338028169014,55.9859154929577,-2.51380281690141
"1081","36059-0515029",569,428,1010,14,200,50.89,2.04,192,393,48.85,0,2.04,2.04,56.3366336633663,42.3762376237624,-5.44663366336633
"1082","36059-0515055",476,473,966,0.3,143,46.13,0,167,310,53.87,7.74,-7.74,-7.74,49.2753623188406,48.9648033126294,-3.14536231884058
"1083","36059-0515006",348,489,848,-16.6,173,38.79,0,273,446,61.21,22.42,-22.42,-22.42,41.0377358490566,57.6650943396226,-2.2477358490566
"1084","36059-0515017",236,343,589,-18.2,108,37.37,0,181,289,62.63,25.26,-25.26,-25.26,40.0679117147708,58.2342954159593,-2.6979117147708
"1085","36059-0515022",279,339,627,-9.6,124,44.29,0,156,280,55.71,11.43,-11.42,-11.42,44.4976076555024,54.066985645933,-0.207607655502393
"1086","36059-0515027",445,405,857,4.7,171,51.98,3.95,158,329,48.02,0,3.96,3.96,51.9253208868145,47.2578763127188,0.0546791131855286
"1087","36059-0515018",252,224,482,5.8,109,46.19,0,127,236,53.81,7.63,-7.62,-7.62,52.2821576763485,46.4730290456432,-6.09215767634855
"1088","36059-0515025",250,258,514,-1.6,75,42.13,0,103,178,57.87,15.73,-15.74,-15.74,48.6381322957198,50.1945525291829,-6.50813229571984
"1089","36059-0515036",262,272,545,-1.8,57,35.85,0,102,159,64.15,28.3,-28.3,-28.3,48.0733944954128,49.9082568807339,-12.2233944954128
"1090","36059-0515044",306,327,645,-3.3,91,40.99,0,131,222,59.01,18.02,-18.02,-18.02,47.4418604651163,50.6976744186046,-6.45186046511628
"1091","36059-0515038",161,154,317,2.2,41,48.81,0,43,84,51.19,2.38,-2.38,-2.38,50.788643533123,48.5804416403786,-1.97864353312303
"1092","36059-0515084",353,486,856,-15.5,147,41.64,0,206,353,58.36,16.71,-16.72,-16.72,41.2383177570093,56.7757009345794,0.401682242990653
"1093","36059-0515092",318,474,806,-19.4,125,38.58,0,199,324,61.42,22.84,-22.84,-22.84,39.454094292804,58.8089330024814,-0.874094292803974
"1094","36059-0515094",35,19,56,28.6,3,75,50,1,4,25,0,50,50,62.5,33.9285714285714,12.5
"1095","36059-0515097",230,142,376,23.4,83,55.33,10.67,67,150,44.67,0,10.66,10.66,61.1702127659574,37.7659574468085,-5.84021276595745
"1096","36059-0515088",11,24,35,-37.1,2,100,100,0,2,0,0,100,100,31.4285714285714,68.5714285714286,68.5714285714286
"1097","36059-0517002",142,140,290,0.7,45,41.28,0,64,109,58.72,17.43,-17.44,-17.44,48.9655172413793,48.2758620689655,-7.68551724137931
"1098","36059-0515096",250,234,493,3.2,84,45.41,0,101,185,54.59,9.19,-9.18,-9.18,50.709939148073,47.4645030425963,-5.29993914807302
"1099","36059-0515100",445,346,807,12.3,161,49.39,0,165,326,50.61,1.23,-1.22,-1.22,55.1425030978934,42.8748451053284,-5.75250309789343
"1100","36059-0517011",277,472,762,-25.6,96,36.5,0,167,263,63.5,27,-27,-27,36.3517060367454,61.9422572178478,0.148293963254595
"1101","36059-0517013",300,486,796,-23.4,112,30.11,0,260,372,69.89,39.78,-39.78,-39.78,37.6884422110553,61.0552763819096,-7.57844221105528
"1102","36059-0517014",176,353,535,-33.1,61,29.19,0,147,209,70.33,41.15,-41.14,-41.14,32.8971962616822,65.981308411215,-3.70719626168224
"1103","36059-0517015",324,551,884,-25.7,99,29.64,0,235,334,70.36,40.72,-40.72,-40.72,36.6515837104072,62.3303167420815,-7.01158371040724
"1104","36059-0517016",302,581,890,-31.3,82,23.03,0,274,356,76.97,53.93,-53.94,-53.94,33.9325842696629,65.2808988764045,-10.9025842696629
"1105","36059-0517017",220,406,633,-29.4,106,34.08,0,205,311,65.92,31.83,-31.84,-31.84,34.7551342812006,64.1390205371248,-0.675134281200634
"1106","36059-0517018",128,237,367,-29.7,47,30.13,0,109,156,69.87,39.74,-39.74,-39.74,34.8773841961853,64.5776566757493,-4.74738419618529
