"AD","ED","Harris","Trump"
29,4,847,89
29,5,821,99
29,6,817,118
29,7,615,91
29,8,604,65
29,9,518,43
29,10,31,60
29,11,918,60
29,12,888,79
29,13,930,61
29,14,864,83
29,15,126,12
29,16,184,14
29,17,546,66
29,18,924,75
29,19,911,66
29,20,715,51
29,21,895,72
29,22,787,42
29,23,992,64
29,24,85,9
29,25,779,75
29,26,162,17
29,27,858,76
29,28,862,71
29,29,953,115
29,30,859,110
29,31,555,46
29,32,426,40
29,33,455,50
29,34,771,73
29,35,562,85
29,36,680,76
29,37,711,58
29,38,624,64
29,39,729,134
29,40,711,111
29,41,602,154
29,42,50,36
29,43,484,253
29,44,419,261
29,45,584,260
29,46,280,110
29,47,210,113
29,48,511,269
29,49,169,63
29,50,734,255
29,51,612,298
29,52,246,117
29,53,305,195
29,54,365,266
29,55,399,230
29,56,584,148
29,57,319,68
29,58,654,251
29,59,282,129
29,60,558,269
29,61,59,6
29,62,0,0
29,63,272,188
29,64,72,2
29,65,286,143
30,1,0,0
30,2,92,91
30,3,114,45
30,4,328,229
30,5,463,632
30,6,480,640
30,7,201,222
30,8,349,507
30,9,265,267
30,10,384,565
30,11,329,288
30,12,193,123
30,13,597,439
30,14,87,49
30,15,61,57
30,16,442,402
30,17,120,157
30,18,126,42
30,19,330,200
30,20,308,205
30,21,565,374
30,22,585,353
30,23,299,218
30,24,578,394
30,25,458,359
30,26,0,0
30,27,368,396
30,28,150,128
30,29,16,11
30,30,485,429
30,31,426,321
30,32,42,52
30,33,324,209
30,34,194,200
30,35,534,302
30,36,491,403
30,37,310,276
30,38,345,296
30,39,352,310
30,40,518,344
30,41,499,375
30,42,346,188
30,43,260,149
30,44,84,55
30,45,370,221
30,46,429,333
30,47,328,224
30,48,250,186
30,49,476,295
30,50,410,315
30,51,414,256
30,52,252,153
30,53,303,226
30,54,217,143
30,55,330,258
30,56,380,258
30,57,0,0
30,58,0,0
30,59,0,0
30,60,74,49
31,1,718,131
31,2,529,160
31,3,466,92
31,4,543,132
31,5,621,83
31,6,402,85
31,7,273,61
31,8,697,118
31,9,343,53
31,10,375,97
31,11,456,116
31,12,609,80
31,13,260,37
31,14,591,74
31,15,799,145
31,16,590,185
31,17,13,4
31,18,328,69
31,19,19,8
31,20,770,164
31,21,484,360
31,22,621,73
31,23,893,72
31,24,269,52
31,25,725,87
31,26,747,70
31,27,812,66
31,28,687,56
31,29,646,56
31,30,347,42
31,31,440,53
31,32,795,93
31,33,216,111
31,34,681,96
31,35,555,42
31,36,182,24
31,37,647,137
31,38,399,133
31,39,299,105
31,40,14,9
31,41,503,179
31,42,167,96
31,43,471,265
31,44,389,211
31,45,463,231
31,46,444,189
31,47,159,105
31,48,204,99
31,49,57,20
31,50,400,228
31,51,391,197
31,52,355,190
31,53,339,204
31,54,553,183
31,55,444,211
31,56,456,199
31,57,511,397
31,58,528,360
31,59,0,0
31,60,0,0
31,61,0,0
31,62,0,0
31,63,0,0
31,64,0,0
32,1,49,29
32,2,92,49
32,3,531,240
32,4,275,154
32,5,525,177
32,6,17,9
32,7,559,168
32,8,469,407
32,9,426,183
32,10,317,155
32,11,44,12
32,12,416,102
32,13,41,5
32,14,58,11
32,15,367,312
32,16,143,19
32,17,449,180
32,18,128,48
32,19,445,192
32,20,460,137
32,21,638,156
32,22,692,183
32,23,510,118
32,24,497,114
32,25,542,107
32,26,648,187
32,27,632,140
32,28,584,110
32,29,419,66
32,30,481,102
32,31,502,77
32,32,593,105
32,33,224,12
32,34,736,63
32,35,290,37
32,36,461,58
32,37,741,149
32,38,573,132
32,39,527,115
32,40,507,83
32,41,375,53
32,42,576,115
32,43,664,168
32,44,400,32
32,45,408,121
