ED,Reported *,Zohran Kwame Mamdani (Democratic),Curtis A. Sliwa (Republican),Irene Estrada (Conservative),Zohran Kwame Mamdani (Working Families),Curtis A. Sliwa (Protect Animals),Eric L. Adams (Safe&Affordable/EndAntiSemitism),Joseph Hernandez (Quality of Life),Andrew M. Cuomo (Fight and Deliver),Jim Walden (Integrity),WRITE-IN,AD
21,99.00%,256,29,0,41,5,1,0,509,0,8,67
22,99.00%,268,15,0,57,1,1,1,470,0,6,67
23,99.00%,149,13,0,24,1,0,0,191,0,3,67
24,90.00%,358,21,0,64,3,2,0,386,2,4,67
25,99.00%,238,9,1,36,0,0,0,369,0,4,67
26,99.00%,540,28,0,93,0,1,2,415,1,4,67
27,99.00%,296,19,0,37,1,0,0,267,0,3,67
28,99.00%,290,13,1,51,0,0,1,251,1,7,67
29,99.00%,302,19,0,44,4,0,1,265,0,0,67
30,99.00%,461,25,0,73,1,1,0,470,2,6,67
31,99.00%,200,12,0,24,1,0,0,314,2,1,67
32,99.00%,241,17,0,34,1,0,0,507,2,7,67
33,99.00%,230,10,0,24,1,0,0,397,0,2,67
34,90.00%,342,21,0,57,3,0,0,444,2,11,67
35,99.00%,327,18,2,41,3,1,0,344,3,7,67
36,88.89%,335,14,0,52,0,2,4,536,0,4,67
37,88.89%,456,30,0,58,8,2,0,476,0,8,67
38,99.00%,483,27,0,56,3,1,1,621,3,6,67
39,99.00%,365,19,0,41,2,1,0,694,1,10,67
40,99.00%,354,24,1,48,3,1,0,618,1,8,67
41,99.00%,324,27,0,33,2,1,2,566,2,3,67
42,99.00%,334,21,2,40,1,0,0,560,1,13,67
43,99.00%,167,16,2,23,4,0,0,332,2,4,67
44,99.00%,297,27,0,58,5,1,0,633,2,11,67
45,99.00%,205,19,0,22,1,0,0,295,0,1,67
46,92.31%,111,8,0,25,1,0,0,145,1,2,67
47,99.00%,265,26,0,35,2,4,0,611,0,2,67
48,99.00%,306,23,0,25,1,4,0,403,4,3,67
49,99.00%,285,36,0,26,3,1,1,329,2,0,67
50,99.00%,320,20,0,39,5,3,0,151,0,5,67
51,99.00%,185,20,1,18,1,1,0,131,0,1,67
52,99.00%,340,28,0,48,2,1,0,418,0,4,67
53,99.00%,265,21,0,27,2,1,0,189,2,1,67
54,99.00%,344,42,1,31,2,1,0,208,0,1,67
55,99.00%,241,19,1,25,4,5,0,173,1,3,67
56,99.00%,344,17,2,33,2,4,0,398,3,3,67
57,99.00%,501,35,2,73,3,3,0,369,0,8,67
58,88.89%,278,25,1,46,3,0,0,129,0,1,67
59,99.00%,486,42,0,61,7,2,0,277,1,2,67
60,88.89%,421,33,0,79,11,3,3,309,1,2,67
61,99.00%,279,32,0,37,3,0,1,186,1,0,67
62,99.00%,479,25,0,85,3,4,0,222,2,2,67
63,99.00%,454,29,1,88,0,1,0,229,2,2,67
64,99.00%,365,23,1,36,6,0,0,205,0,1,67
65,99.00%,364,30,0,51,5,2,3,330,0,0,67
66,99.00%,180,16,0,22,2,0,1,132,0,2,67
67,88.89%,342,17,0,55,4,1,1,213,0,4,67
68,88.89%,293,21,1,60,2,0,1,95,0,1,67
69,99.00%,0,0,0,0,0,0,0,0,0,0,67
70,99.00%,0,0,0,0,0,0,0,0,0,0,67
71,99.00%,0,0,0,0,0,0,0,0,0,0,67
1,99.00%,231,15,0,47,0,1,0,90,0,1,68
2,99.00%,173,15,0,22,0,2,1,139,0,2,68
3,99.00%,85,8,0,2,0,1,2,84,0,0,68
4,99.00%,324,9,2,51,1,0,0,133,0,3,68
5,99.00%,258,4,0,65,1,1,0,85,0,11,68
6,99.00%,221,17,1,36,0,3,1,109,0,0,68
7,99.00%,108,8,3,8,0,2,0,121,0,1,68
8,99.00%,506,32,1,105,2,1,1,235,0,2,68
9,99.00%,124,1,0,19,2,0,0,60,0,1,68
10,99.00%,114,8,0,13,1,3,1,119,0,0,68
11,99.00%,302,3,0,46,0,4,0,153,0,2,68
12,75.00%,245,8,0,43,1,2,0,119,0,3,68
13,75.00%,236,10,0,24,1,3,0,125,0,2,68
14,99.00%,178,5,0,34,2,1,1,79,1,2,68
15,99.00%,98,14,1,8,0,1,0,109,0,3,68
16,99.00%,104,10,1,13,1,2,0,99,0,0,68
17,99.00%,278,9,1,43,1,3,0,134,0,3,68
18,99.00%,168,11,1,26,0,2,0,121,0,1,68
19,99.00%,187,13,1,23,1,2,0,115,0,0,68
20,99.00%,204,15,2,24,0,2,1,118,1,4,68
21,99.00%,323,12,0,54,3,0,1,164,0,2,68
22,85.71%,128,7,2,32,2,2,1,67,0,3,68
23,99.00%,130,15,1,11,0,2,1,129,0,1,68
24,99.00%,6,3,0,0,0,0,0,9,0,0,68
25,85.71%,207,19,1,34,1,2,0,106,0,7,68
26,85.71%,139,8,3,23,1,2,0,77,0,0,68
27,99.00%,105,12,1,11,0,0,0,119,0,1,68
28,99.00%,378,16,2,107,2,3,1,151,0,2,68
29,85.71%,267,17,0,53,2,2,0,114,0,1,68
30,99.00%,89,10,1,14,1,2,1,97,1,0,68
31,99.00%,253,21,0,49,0,0,0,93,0,0,68
32,99.00%,362,28,1,72,3,3,0,136,0,1,68
33,99.00%,353,28,1,92,2,1,0,140,0,2,68
34,99.00%,198,22,1,27,2,4,1,166,1,0,68
35,99.00%,251,13,3,35,1,1,0,162,0,1,68
36,99.00%,199,10,0,32,1,3,0,85,0,1,68
37,99.00%,280,37,1,26,1,2,1,302,0,4,68
38,99.00%,368,24,1,55,4,3,0,177,0,0,68
39,75.00%,99,7,0,8,0,0,2,80,1,1,68
40,75.00%,111,9,0,22,0,0,0,90,0,2,68
41,99.00%,186,19,0,29,1,4,1,141,0,0,68
42,99.00%,145,10,1,26,2,0,0,113,0,2,68
43,99.00%,371,20,1,87,2,2,0,143,0,0,68
44,99.00%,376,33,1,73,0,0,0,195,1,0,68
45,99.00%,220,36,2,32,3,2,0,132,1,1,68
46,99.00%,281,22,1,42,2,3,1,168,0,0,68
47,99.00%,269,30,0,48,2,3,1,219,1,1,68
48,99.00%,273,28,0,29,2,4,1,240,0,2,68
49,99.00%,117,7,0,13,1,0,0,72,0,3,68
50,99.00%,97,18,1,6,1,0,0,82,0,0,68
51,99.00%,238,15,3,23,2,2,1,275,2,2,68
52,99.00%,227,10,0,22,2,1,0,372,1,1,68
53,99.00%,242,19,0,44,3,2,0,137,0,0,68
54,99.00%,170,9,0,16,1,1,1,388,4,4,68
55,99.00%,309,18,0,39,5,1,0,566,4,3,68
56,99.00%,180,14,0,35,3,0,0,86,0,1,68
57,99.00%,217,7,0,36,2,1,0,104,1,1,68
58,99.00%,193,16,3,23,3,1,1,158,3,1,68
59,99.00%,177,10,0,19,1,3,0,81,1,0,68
60,99.00%,230,15,1,29,1,1,0,103,2,0,68
61,99.00%,101,6,0,8,0,0,0,85,1,1,68
62,99.00%,443,33,1,81,5,1,1,221,1,2,68
63,99.00%,336,20,3,38,1,1,1,272,3,2,68
64,99.00%,163,14,0,19,0,1,0,210,2,5,68
65,99.00%,405,22,0,71,3,0,0,387,0,3,68
66,99.00%,475,28,1,76,5,1,0,564,1,6,68
67,99.00%,265,46,0,25,9,1,0,324,2,4,68
68,99.00%,165,6,0,15,1,1,1,92,1,2,68
69,99.00%,139,19,2,13,0,2,0,130,1,0,68
70,99.00%,329,21,1,64,1,0,0,292,1,1,68
71,99.00%,167,24,1,22,1,1,0,177,0,2,68
72,99.00%,69,4,0,10,1,0,0,28,0,0,68
73,99.00%,93,5,0,11,0,2,0,69,1,1,68
74,99.00%,231,12,0,29,0,2,0,132,0,2,68
75,99.00%,72,2,0,6,0,0,0,181,0,1,68
76,99.00%,6,0,0,0,0,0,0,9,0,0,68
77,99.00%,235,9,0,27,2,0,0,180,2,0,68
78,99.00%,0,0,0,0,0,0,0,0,0,0,68
79,99.00%,0,0,0,0,0,0,0,0,0,0,68
80,99.00%,0,0,0,0,0,0,0,0,0,0,68
81,99.00%,0,0,0,0,0,0,0,0,0,0,68
82,99.00%,0,0,0,0,0,0,0,0,0,0,68
1,99.00%,87,8,0,11,0,2,0,107,0,0,69
2,99.00%,344,15,0,63,3,1,1,167,0,1,69
3,99.00%,138,12,3,20,0,5,0,132,0,0,69
4,99.00%,109,10,2,11,0,3,0,94,1,1,69
5,99.00%,436,10,0,64,0,3,1,129,1,4,69
6,99.00%,595,10,1,144,2,0,0,211,0,10,69
7,99.00%,511,9,1,97,1,1,0,186,0,3,69
8,50.00%,198,3,1,42,0,0,0,32,1,2,69
9,99.00%,511,9,2,79,2,0,0,126,1,1,69
10,50.00%,122,1,0,23,0,0,0,28,0,0,69
11,99.00%,492,7,0,123,4,1,0,192,0,3,69
12,99.00%,586,13,1,125,2,2,0,275,8,7,69
13,99.00%,388,6,0,69,1,0,1,197,2,13,69
14,99.00%,525,16,1,126,3,0,0,171,1,4,69
15,99.00%,377,20,0,63,3,1,0,224,0,0,69
16,92.86%,161,4,0,28,0,1,0,152,0,3,69
17,99.00%,273,7,0,60,0,1,0,109,3,2,69
18,99.00%,471,25,0,82,3,4,0,221,0,2,69
19,99.00%,226,10,2,69,1,1,1,135,0,4,69
20,99.00%,411,14,3,97,3,1,1,137,1,2,69
21,99.00%,274,6,0,45,0,1,0,98,2,2,69
22,99.00%,425,13,1,96,1,1,1,226,2,3,69
23,99.00%,371,26,0,96,3,3,1,216,2,2,69
24,99.00%,147,26,0,17,3,4,1,172,1,0,69
25,99.00%,266,18,0,47,1,4,1,178,0,2,69
26,99.00%,110,10,0,16,0,1,0,104,1,1,69
27,99.00%,371,25,0,72,2,2,1,157,0,4,69
28,99.00%,318,8,0,46,1,0,0,184,1,5,69
29,99.00%,550,20,1,120,6,1,0,247,0,3,69
30,99.00%,503,15,0,117,3,2,0,248,0,7,69
31,99.00%,264,5,0,54,2,1,0,120,0,1,69
32,99.00%,120,10,1,14,3,0,1,140,0,3,69
33,99.00%,409,15,1,103,1,0,0,306,1,9,69
34,99.00%,307,9,1,59,2,0,0,268,0,12,69
35,99.00%,259,8,1,49,1,3,0,274,2,6,69
36,99.00%,318,21,0,66,1,4,0,325,0,3,69
37,99.00%,361,16,2,51,7,2,0,331,1,6,69
38,99.00%,373,14,0,65,5,2,0,336,1,3,69
39,99.00%,497,18,0,92,4,0,0,265,2,7,69
40,99.00%,289,19,2,65,0,0,0,170,2,4,69
41,99.00%,496,18,1,77,3,1,0,315,1,11,69
42,99.00%,529,19,0,109,2,3,0,308,2,9,69
43,99.00%,495,10,0,75,1,1,1,330,0,6,69
44,99.00%,239,12,0,62,5,0,0,163,2,7,69
45,99.00%,552,17,0,130,4,1,2,357,2,11,69
46,99.00%,396,15,0,74,2,1,0,315,3,7,69
47,99.00%,311,26,0,65,2,0,1,286,0,5,69
48,99.00%,362,18,2,69,1,1,2,440,2,7,69
49,92.31%,295,20,0,50,2,1,0,216,1,2,69
50,99.00%,428,14,0,89,3,0,0,381,3,8,69
51,99.00%,351,16,3,66,2,0,1,283,0,3,69
52,99.00%,451,18,3,78,4,0,0,370,2,3,69
53,99.00%,253,11,0,42,1,2,0,313,0,2,69
54,92.86%,356,18,0,43,4,1,0,329,0,10,69
55,92.86%,219,10,0,28,3,0,0,112,0,1,69
56,99.00%,291,10,0,59,4,1,0,301,1,13,69
57,92.31%,209,12,0,32,0,1,0,178,0,6,69
58,92.31%,387,38,2,101,1,1,1,329,0,4,69
59,92.31%,334,19,0,70,2,0,0,249,2,6,69
60,92.31%,313,20,0,69,2,1,0,354,0,5,69
61,92.31%,218,14,0,56,0,1,0,215,2,1,69
62,83.33%,226,6,0,28,1,0,0,226,0,5,69
63,92.31%,209,13,0,38,1,3,1,149,2,6,69
64,92.31%,151,8,0,16,0,0,0,148,2,2,69
65,90.91%,219,14,0,36,1,0,0,257,1,3,69
66,90.91%,361,23,0,66,5,2,0,369,4,5,69
67,90.91%,218,25,0,31,1,2,2,239,0,3,69
68,92.86%,283,11,0,31,2,1,0,305,0,1,69
69,92.86%,228,14,0,29,2,0,0,299,0,1,69
70,92.86%,244,14,0,32,7,3,0,243,1,5,69
71,92.86%,361,24,0,55,4,1,0,320,1,6,69
72,92.86%,249,4,1,32,1,0,2,250,1,2,69
73,92.86%,401,21,0,53,4,3,0,379,2,7,69
74,92.86%,248,12,0,44,3,1,0,210,0,3,69
75,92.86%,191,11,0,20,2,1,0,338,2,1,69
76,92.86%,281,17,0,47,3,0,0,168,0,2,69
77,99.00%,0,0,0,0,0,0,0,0,0,0,69
78,99.00%,0,0,0,0,0,0,0,0,0,0,69
79,92.86%,0,0,0,0,0,0,0,0,0,0,69
80,99.00%,0,0,0,0,0,0,0,0,0,0,69
81,99.00%,0,0,0,0,0,0,0,0,0,0,69
82,99.00%,0,0,0,0,0,0,0,0,0,0,69
83,99.00%,0,0,0,0,0,0,0,0,0,0,69
84,99.00%,0,0,0,0,0,0,0,0,0,0,69
1,99.00%,324,12,1,67,1,1,0,160,0,3,70
2,99.00%,191,16,0,40,2,0,1,103,1,0,70
3,99.00%,269,15,2,42,7,1,2,173,0,0,70
4,99.00%,343,18,0,69,0,2,1,150,1,2,70
5,99.00%,240,11,0,41,2,0,2,109,1,0,70
6,99.00%,196,7,0,54,1,0,0,123,0,0,70
7,99.00%,179,10,0,27,0,1,0,105,0,0,70
8,99.00%,213,5,0,25,2,2,0,88,1,2,70
9,99.00%,218,13,0,28,0,1,2,102,0,1,70
10,99.00%,211,13,0,32,1,1,1,115,0,0,70
11,99.00%,168,13,2,22,4,4,1,141,1,1,70
12,99.00%,161,3,1,30,3,2,0,99,0,0,70
13,99.00%,555,23,0,105,4,3,1,143,3,0,70
14,99.00%,293,8,0,54,0,2,0,125,0,2,70
15,99.00%,227,17,0,37,2,2,0,119,0,1,70
16,99.00%,560,10,1,150,0,3,2,147,0,2,70
17,99.00%,171,9,0,18,2,1,0,61,0,0,70
18,99.00%,394,5,0,91,1,2,0,99,0,4,70
19,99.00%,303,14,0,65,2,2,1,96,0,1,70
20,99.00%,492,13,0,127,1,2,0,151,3,4,70
21,90.00%,365,14,0,96,0,3,0,132,0,4,70
22,99.00%,382,19,0,78,1,3,1,185,1,3,70
23,90.00%,216,1,0,31,2,4,2,156,3,2,70
24,90.00%,215,8,0,35,3,3,0,137,1,0,70
25,85.71%,133,7,0,28,0,2,0,75,0,1,70
26,85.71%,353,5,2,68,1,2,0,110,0,2,70
27,99.00%,376,9,0,96,1,3,0,128,0,5,70
28,50.00%,201,6,0,46,0,0,0,77,0,2,70
29,99.00%,565,14,1,102,1,3,0,222,1,3,70
30,99.00%,487,13,0,94,2,2,1,205,2,7,70
31,99.00%,422,18,1,86,0,1,0,147,1,1,70
32,99.00%,300,6,0,74,1,2,0,117,0,1,70
33,99.00%,374,6,1,80,3,4,2,127,0,1,70
34,99.00%,363,15,0,84,3,1,1,131,0,3,70
35,99.00%,414,14,1,79,2,1,1,174,1,2,70
36,57.14%,126,6,1,18,0,1,0,72,0,0,70
37,85.71%,138,2,0,31,0,1,0,57,1,1,70
38,57.14%,103,4,0,26,0,0,0,44,1,0,70
39,99.00%,352,6,0,82,4,5,1,117,1,3,70
40,99.00%,216,7,0,52,1,2,0,101,0,4,70
41,99.00%,396,12,0,56,1,2,0,224,1,3,70
42,99.00%,113,7,0,18,2,1,0,86,0,0,70
43,99.00%,206,12,2,18,2,6,0,188,1,1,70
44,99.00%,443,20,1,55,0,4,1,261,0,5,70
45,99.00%,125,10,0,2,1,0,0,105,0,1,70
46,99.00%,119,8,1,15,1,2,1,129,0,1,70
47,99.00%,306,14,0,66,2,1,2,115,0,2,70
48,99.00%,275,4,1,59,1,3,0,99,0,0,70
49,99.00%,278,7,0,47,0,2,3,115,1,6,70
50,99.00%,224,8,0,49,1,0,0,96,0,2,70
51,99.00%,121,6,0,8,1,5,0,106,0,2,70
52,99.00%,127,6,1,4,0,1,1,101,0,2,70
53,99.00%,311,8,0,60,2,5,0,191,0,4,70
54,99.00%,492,9,1,113,0,3,1,135,1,4,70
55,99.00%,393,11,0,95,2,5,0,135,1,1,70
56,99.00%,400,6,0,67,1,1,0,120,0,2,70
57,99.00%,251,5,0,74,1,3,2,90,2,1,70
58,99.00%,476,14,1,82,1,4,1,162,1,5,70
59,99.00%,359,19,1,81,1,3,1,133,2,2,70
60,99.00%,465,11,1,128,0,2,1,178,2,2,70
61,99.00%,363,12,0,80,0,0,0,142,0,2,70
62,99.00%,448,12,1,98,4,4,0,175,0,4,70
63,99.00%,286,13,2,49,1,2,0,165,0,6,70
64,99.00%,443,20,0,110,0,3,0,179,3,9,70
65,99.00%,369,22,1,71,1,5,0,168,0,1,70
66,99.00%,508,16,2,92,1,0,0,239,1,4,70
67,99.00%,198,13,1,17,0,1,0,135,0,1,70
68,99.00%,187,5,1,17,1,2,0,110,0,4,70
69,99.00%,402,8,1,77,0,3,0,193,0,3,70
70,99.00%,157,9,0,26,2,2,1,84,0,2,70
71,99.00%,289,14,2,39,3,6,1,155,2,4,70
72,99.00%,0,0,0,0,0,0,0,0,0,0,70
73,99.00%,0,0,0,0,0,0,0,0,0,0,70
74,50.00%,0,0,0,0,0,0,0,0,0,0,70
1,99.00%,429,22,1,170,3,0,2,167,0,3,71
2,99.00%,393,26,0,140,5,0,0,161,0,5,71
3,99.00%,545,33,1,165,4,2,1,347,3,16,71
4,99.00%,671,28,2,221,1,3,1,272,0,7,71
5,99.00%,581,18,0,158,3,1,0,221,0,6,71
6,99.00%,524,17,0,117,3,1,1,260,2,6,71
7,99.00%,475,24,1,144,6,1,0,190,1,2,71
8,99.00%,345,23,0,106,1,0,1,228,3,3,71
9,99.00%,426,28,3,148,1,1,0,204,0,4,71
10,99.00%,359,19,0,110,6,0,0,108,0,1,71
11,99.00%,244,9,0,105,0,1,1,99,1,2,71
12,99.00%,237,16,0,69,3,0,1,147,1,6,71
13,99.00%,283,22,0,69,3,0,0,148,0,3,71
14,99.00%,255,13,0,56,3,0,0,140,2,0,71
15,99.00%,278,12,0,86,3,0,0,124,3,2,71
16,99.00%,285,9,1,64,2,2,1,120,1,3,71
17,99.00%,338,20,1,91,2,4,2,148,1,1,71
18,99.00%,317,16,0,64,3,0,0,134,0,0,71
19,99.00%,293,4,0,77,2,1,0,74,0,2,71
20,99.00%,203,10,1,62,2,1,0,164,2,1,71
21,99.00%,274,21,0,47,1,1,0,141,2,1,71
22,99.00%,222,24,0,51,1,3,0,150,0,0,71
23,99.00%,272,14,1,52,1,2,1,178,0,2,71
24,99.00%,460,20,1,83,1,5,2,267,2,11,71
25,99.00%,203,12,2,54,0,2,0,86,1,2,71
26,99.00%,297,4,0,54,0,0,3,107,1,3,71
27,99.00%,308,10,1,76,2,0,0,150,0,3,71
28,88.89%,279,14,1,52,1,0,1,119,0,0,71
29,88.89%,264,9,0,42,2,1,0,138,2,0,71
30,99.00%,240,8,0,79,0,1,0,142,1,0,71
31,99.00%,130,3,1,8,1,0,0,90,2,1,71
32,99.00%,191,9,2,19,1,3,0,156,2,2,71
33,99.00%,31,6,0,6,1,0,0,40,0,1,71
34,99.00%,150,15,1,11,3,3,1,127,0,0,71
35,99.00%,314,13,0,66,0,2,1,120,2,1,71
36,99.00%,348,13,0,83,1,3,0,142,0,2,71
37,99.00%,273,13,0,45,1,1,0,164,0,1,71
38,99.00%,376,18,1,98,1,1,0,102,0,1,71
39,99.00%,346,10,0,76,1,0,0,145,0,5,71
40,99.00%,312,9,2,67,0,3,0,127,0,3,71
41,99.00%,373,14,0,79,1,3,0,128,0,2,71
42,99.00%,410,9,1,79,2,1,1,145,0,3,71
43,99.00%,192,7,1,69,2,0,0,96,0,1,71
44,99.00%,236,11,0,51,2,2,0,132,0,1,71
45,99.00%,217,8,0,53,3,1,0,115,0,5,71
46,99.00%,299,21,0,66,0,1,1,126,1,1,71
47,99.00%,192,4,2,40,1,4,0,104,0,0,71
48,99.00%,354,11,0,73,0,1,1,145,1,0,71
49,99.00%,368,11,0,97,3,2,0,143,2,0,71
50,99.00%,242,17,0,53,1,5,0,114,1,1,71
51,99.00%,465,12,0,101,2,4,2,139,0,4,71
52,99.00%,484,21,2,118,0,5,0,160,1,4,71
53,99.00%,200,8,1,22,0,4,0,97,0,2,71
54,99.00%,232,14,0,20,2,4,2,152,0,1,71
55,99.00%,419,18,5,108,1,4,0,184,1,1,71
56,99.00%,331,13,0,68,0,3,0,125,0,1,71
57,99.00%,329,9,1,62,1,2,0,131,1,2,71
58,99.00%,340,8,1,59,0,0,0,131,0,1,71
59,99.00%,420,16,1,97,2,0,0,177,1,4,71
60,90.00%,285,7,1,35,1,4,0,151,2,3,71
61,99.00%,394,12,2,40,0,5,0,315,0,6,71
62,99.00%,253,8,1,12,0,3,0,197,1,1,71
63,99.00%,200,7,0,40,3,4,0,172,0,1,71
64,57.14%,53,3,0,11,1,1,0,36,1,1,71
65,99.00%,28,4,0,1,0,2,0,72,0,0,71
66,99.00%,0,0,0,0,0,0,0,0,0,0,71
67,99.00%,0,0,0,0,0,0,0,0,0,0,71
68,99.00%,0,0,0,0,0,0,0,0,0,0,71
69,99.00%,0,0,0,0,0,0,0,0,0,0,71
70,99.00%,0,0,0,0,0,0,0,0,0,0,71
71,99.00%,0,0,0,0,0,0,0,0,0,0,71
1,99.00%,163,8,1,12,3,3,1,179,1,0,72
2,99.00%,189,31,1,34,1,0,0,166,0,1,72
3,99.00%,257,20,1,43,2,1,0,127,1,1,72
4,99.00%,501,20,1,168,2,1,0,185,4,11,72
5,99.00%,498,36,2,160,7,1,1,165,1,4,72
6,99.00%,368,37,2,96,3,1,0,147,2,4,72
7,99.00%,195,15,1,50,3,1,0,153,0,1,72
8,99.00%,340,14,1,106,2,0,0,125,1,0,72
9,99.00%,449,34,1,138,1,2,0,152,2,2,72
10,99.00%,368,25,1,91,0,0,1,141,0,1,72
11,99.00%,183,15,2,35,0,1,0,180,0,1,72
12,99.00%,195,17,0,19,3,1,0,189,0,1,72
13,99.00%,180,12,0,16,1,1,0,193,0,2,72
14,99.00%,253,16,2,40,1,1,0,150,0,0,72
15,99.00%,256,22,1,42,3,1,1,197,3,1,72
16,99.00%,127,10,0,22,2,1,0,126,0,1,72
17,99.00%,154,13,0,16,0,1,0,147,0,0,72
18,99.00%,219,14,0,59,2,1,0,100,0,1,72
19,99.00%,278,9,0,56,1,2,0,123,1,1,72
20,99.00%,168,14,1,27,0,3,1,136,0,1,72
21,99.00%,116,10,1,16,0,4,2,131,0,0,72
22,99.00%,114,13,1,20,0,1,0,106,0,0,72
23,99.00%,202,24,0,24,2,1,0,152,0,1,72
24,99.00%,177,11,3,40,0,1,0,129,0,2,72
25,80.00%,221,34,0,34,5,4,1,248,2,2,72
26,99.00%,370,28,1,128,3,3,1,210,1,2,72
27,99.00%,225,25,0,42,4,2,1,154,0,2,72
28,99.00%,131,9,0,20,2,2,0,71,0,1,72
29,99.00%,280,17,0,54,0,2,0,142,0,1,72
30,99.00%,245,15,0,74,3,2,0,132,0,7,72
31,80.00%,182,9,0,26,0,0,0,142,0,1,72
32,99.00%,269,13,0,37,0,4,1,171,1,2,72
33,99.00%,217,8,1,51,0,1,2,178,3,4,72
34,99.00%,104,11,0,15,1,0,0,104,0,1,72
35,99.00%,190,6,1,33,0,0,1,110,0,0,72
36,99.00%,146,12,0,27,1,0,0,106,2,0,72
37,99.00%,216,27,0,35,0,2,0,235,1,1,72
38,99.00%,149,13,2,19,0,1,0,412,0,0,72
39,99.00%,209,19,1,40,3,0,0,159,0,2,72
40,99.00%,163,16,0,24,0,2,0,161,0,0,72
41,99.00%,298,24,0,63,2,1,0,196,1,4,72
42,99.00%,174,24,0,20,0,1,0,200,1,0,72
43,99.00%,227,9,0,44,1,1,1,164,0,0,72
44,99.00%,203,11,2,29,0,1,0,164,0,0,72
45,99.00%,136,6,0,12,1,1,0,109,1,0,72
46,99.00%,148,15,1,25,0,3,0,197,1,2,72
47,99.00%,149,9,1,18,3,0,0,102,2,1,72
48,99.00%,187,14,3,34,1,0,0,121,0,2,72
49,99.00%,158,16,0,17,0,0,0,131,0,0,72
50,99.00%,154,20,0,22,0,1,0,113,1,1,72
51,99.00%,146,16,1,25,1,0,0,99,0,1,72
52,99.00%,203,14,0,38,1,0,1,157,0,0,72
53,99.00%,174,18,0,37,1,0,1,144,0,2,72
54,99.00%,136,11,0,15,0,0,1,136,0,0,72
55,99.00%,235,11,1,49,1,0,1,120,0,1,72
56,99.00%,204,15,1,45,3,3,0,104,0,0,72
57,99.00%,217,13,1,30,1,2,0,127,0,2,72
58,88.89%,420,15,0,76,4,1,0,123,0,4,72
59,88.89%,207,18,0,39,1,1,0,130,0,1,72
60,99.00%,179,17,0,40,0,0,0,120,0,1,72
61,88.89%,186,13,2,37,1,0,0,96,0,0,72
62,99.00%,164,16,1,32,3,2,0,131,0,0,72
63,99.00%,168,10,0,27,1,2,0,96,0,2,72
64,99.00%,0,0,0,0,0,0,0,0,0,0,72
65,99.00%,0,0,0,0,0,0,0,0,0,0,72
66,99.00%,0,0,0,0,0,0,0,0,0,0,72
1,83.33%,284,34,1,36,5,3,1,522,1,8,73
2,83.33%,58,6,0,5,2,0,0,158,0,1,73
3,90.00%,243,26,2,30,5,1,0,388,3,5,73
4,90.00%,396,23,0,59,1,3,0,484,1,4,73
5,99.00%,213,6,0,35,1,0,0,252,1,1,73
6,90.00%,250,41,0,32,1,3,0,460,3,3,73
7,99.00%,243,29,1,25,2,0,0,342,2,10,73
8,99.00%,80,11,0,6,1,2,0,162,1,0,73
9,99.00%,126,30,2,7,2,2,0,339,1,5,73
10,99.00%,51,9,0,2,1,0,0,387,0,4,73
11,88.89%,167,29,0,13,4,1,0,597,1,3,73
12,90.00%,354,26,1,59,1,1,0,422,2,2,73
13,90.00%,275,21,0,25,4,0,1,401,3,3,73
14,99.00%,231,31,2,28,1,0,0,227,1,3,73
15,99.00%,361,28,0,35,0,1,0,497,2,3,73
16,99.00%,296,23,3,38,2,2,0,328,0,0,73
17,99.00%,227,32,1,29,5,2,1,433,3,6,73
18,99.00%,62,4,0,6,0,2,0,161,1,0,73
19,99.00%,375,46,1,43,5,1,1,539,0,6,73
20,99.00%,314,39,1,37,3,0,0,742,1,3,73
21,99.00%,356,36,0,52,1,1,1,351,2,1,73
22,99.00%,140,29,0,18,2,0,0,573,2,1,73
23,99.00%,210,23,0,22,5,0,0,457,1,5,73
24,99.00%,238,16,0,29,3,2,0,356,1,0,73
25,99.00%,317,32,1,38,2,1,0,479,1,3,73
26,99.00%,239,28,1,34,2,1,1,431,0,3,73
27,99.00%,308,42,0,45,6,1,0,509,1,4,73
28,99.00%,195,16,0,21,3,1,1,376,2,4,73
29,99.00%,200,27,1,12,0,0,0,595,1,3,73
30,99.00%,325,36,1,30,4,1,0,583,2,1,73
31,99.00%,121,12,1,13,0,1,1,579,0,0,73
32,99.00%,248,30,0,36,1,1,0,513,2,0,73
33,99.00%,207,24,0,18,3,0,3,532,0,5,73
34,99.00%,291,23,0,33,3,0,0,783,2,1,73
35,99.00%,124,6,0,15,1,0,0,220,1,0,73
36,99.00%,124,18,0,20,1,1,0,441,0,2,73
37,99.00%,277,19,0,32,6,3,0,579,0,5,73
38,99.00%,203,23,0,21,2,1,1,851,0,7,73
39,99.00%,181,17,0,12,1,1,0,708,0,7,73
40,88.89%,141,16,0,17,4,0,0,540,0,3,73
41,88.89%,110,23,0,15,1,1,0,496,0,1,73
42,88.89%,97,12,0,4,2,0,1,550,0,1,73
43,99.00%,132,17,0,18,1,0,1,709,2,4,73
44,88.89%,163,13,0,12,0,0,0,608,1,1,73
45,88.89%,203,24,1,31,0,0,1,668,1,4,73
46,88.89%,122,18,0,8,3,4,0,655,3,4,73
47,88.89%,131,26,0,15,2,0,0,536,1,2,73
48,88.89%,131,22,0,11,0,1,0,759,0,3,73
