state,GEOID,votes_dem,votes_rep,votes_total,pct_dem_lead,official_boundary,FIPS,TOWN
NY,3.6059E+11,289,623,918,-0.3638,TRUE,36059,2
NY,3.6059E+11,239,444,690,-0.2971,TRUE,36059,2
NY,3.6059E+11,202,499,710,-0.4183,TRUE,36059,2
NY,3.6059E+11,233,527,771,-0.3813,TRUE,36059,2
NY,3.6059E+11,199,331,535,-0.2467,TRUE,36059,2
NY,3.6059E+11,259,593,857,-0.3897,TRUE,36059,2
NY,3.6059E+11,224,765,991,-0.5459,TRUE,36059,2
NY,3.6059E+11,336,419,762,-0.1089,TRUE,36059,2
NY,3.6059E+11,274,415,694,-0.2032,TRUE,36059,2
NY,3.6059E+11,199,312,517,-0.2186,TRUE,36059,2
NY,3.6059E+11,21,33,54,-0.2222,TRUE,36059,2
NY,3.6059E+11,264,347,616,-0.1347,TRUE,36059,2
NY,3.6059E+11,209,247,460,-0.0826,TRUE,36059,2
NY,3.6059E+11,374,524,902,-0.1663,TRUE,36059,2
NY,3.6059E+11,34,15,49,0.3878,TRUE,36059,2
NY,3.6059E+11,170,220,391,-0.1279,TRUE,36059,2
NY,3.6059E+11,458,653,1119,-0.1743,TRUE,36059,2
NY,3.6059E+11,6,12,18,-0.3333,TRUE,36059,2
NY,3.6059E+11,227,338,576,-0.1927,TRUE,36059,2
NY,3.6059E+11,439,550,1004,-0.1106,TRUE,36059,2
NY,3.6059E+11,201,296,504,-0.1885,TRUE,36059,2
NY,3.6059E+11,332,505,854,-0.2026,TRUE,36059,2
NY,3.6059E+11,401,528,946,-0.1342,TRUE,36059,2
NY,3.6059E+11,372,619,1015,-0.2433,TRUE,36059,2
NY,3.6059E+11,388,465,868,-0.0887,TRUE,36059,2
NY,3.6059E+11,399,579,992,-0.1815,TRUE,36059,2
NY,3.6059E+11,258,450,718,-0.2674,TRUE,36059,2
NY,3.6059E+11,490,584,1092,-0.0861,TRUE,36059,2
NY,3.6059E+11,256,322,586,-0.1126,TRUE,36059,2
NY,3.6059E+11,382,417,808,-0.0433,TRUE,36059,2
NY,3.6059E+11,280,464,761,-0.2418,TRUE,36059,2
NY,3.6059E+11,280,345,636,-0.1022,TRUE,36059,2
NY,3.6059E+11,486,299,789,0.237,TRUE,36059,2
NY,3.6059E+11,226,321,565,-0.1681,TRUE,36059,2
NY,3.6059E+11,217,355,587,-0.2351,TRUE,36059,2
NY,3.6059E+11,424,492,934,-0.0728,TRUE,36059,2
NY,3.6059E+11,293,445,752,-0.2021,TRUE,36059,2
NY,3.6059E+11,301,218,524,0.1584,TRUE,36059,2
NY,3.6059E+11,433,609,1062,-0.1657,TRUE,36059,2
NY,3.6059E+11,419,518,949,-0.1043,TRUE,36059,2
NY,3.6059E+11,442,373,828,0.0833,TRUE,36059,2
NY,3.6059E+11,382,516,909,-0.1474,TRUE,36059,2
NY,3.6059E+11,415,655,1097,-0.2188,TRUE,36059,2
NY,3.6059E+11,296,282,588,0.0238,TRUE,36059,2
NY,3.6059E+11,225,254,488,-0.0594,TRUE,36059,2
NY,3.6059E+11,411,469,902,-0.0643,TRUE,36059,2
NY,3.6059E+11,249,352,607,-0.1697,TRUE,36059,2
NY,3.6059E+11,387,574,985,-0.1898,TRUE,36059,2
NY,3.6059E+11,369,566,952,-0.2069,TRUE,36059,2
NY,3.6059E+11,625,518,1146,0.0934,TRUE,36059,2
NY,3.6059E+11,446,359,822,0.1058,TRUE,36059,2
NY,3.6059E+11,273,469,761,-0.2576,TRUE,36059,2
NY,3.6059E+11,220,356,585,-0.2325,TRUE,36059,2
NY,3.6059E+11,213,286,502,-0.1454,TRUE,36059,2
NY,3.6059E+11,519,869,1407,-0.2488,TRUE,36059,2
NY,3.6059E+11,187,354,560,-0.2982,TRUE,36059,2
NY,3.6059E+11,263,616,905,-0.3901,TRUE,36059,2
NY,3.6059E+11,205,355,568,-0.2641,TRUE,36059,2
NY,3.6059E+11,394,363,766,0.0405,TRUE,36059,2
NY,3.6059E+11,272,442,724,-0.2348,TRUE,36059,2
NY,3.6059E+11,310,438,756,-0.1693,TRUE,36059,2
NY,3.6059E+11,354,521,889,-0.1879,TRUE,36059,2
NY,3.6059E+11,278,459,747,-0.2423,TRUE,36059,2
NY,3.6059E+11,360,567,931,-0.2223,TRUE,36059,2
NY,3.6059E+11,426,667,1108,-0.2175,TRUE,36059,2
NY,3.6059E+11,347,428,782,-0.1036,TRUE,36059,2
NY,3.6059E+11,388,588,985,-0.203,TRUE,36059,2
NY,3.6059E+11,256,549,808,-0.3626,TRUE,36059,2
NY,3.6059E+11,279,534,818,-0.3117,TRUE,36059,2
NY,3.6059E+11,222,479,704,-0.3651,TRUE,36059,2
NY,3.6059E+11,325,542,872,-0.2489,TRUE,36059,2
NY,3.6059E+11,172,275,451,-0.2284,TRUE,36059,2
NY,3.6059E+11,361,114,476,0.5189,TRUE,36059,2
NY,3.6059E+11,347,94,445,0.5685,TRUE,36059,2
NY,3.6059E+11,357,95,458,0.5721,TRUE,36059,2
NY,3.6059E+11,358,53,415,0.7349,TRUE,36059,2
NY,3.6059E+11,444,165,609,0.4581,TRUE,36059,2
NY,3.6059E+11,504,150,656,0.5396,TRUE,36059,2
NY,3.6059E+11,335,64,404,0.6708,TRUE,36059,2
NY,3.6059E+11,382,100,486,0.5802,TRUE,36059,2
NY,3.6059E+11,404,81,486,0.6646,TRUE,36059,2
NY,3.6059E+11,477,48,539,0.7959,TRUE,36059,2
NY,3.6059E+11,491,95,589,0.6723,TRUE,36059,2
NY,3.6059E+11,449,79,531,0.6968,TRUE,36059,2
NY,3.6059E+11,524,109,635,0.6535,TRUE,36059,2
NY,3.6059E+11,368,100,476,0.563,TRUE,36059,2
NY,3.6059E+11,596,130,732,0.6366,TRUE,36059,2
NY,3.6059E+11,513,108,627,0.6459,TRUE,36059,2
NY,3.6059E+11,547,125,675,0.6252,TRUE,36059,2
NY,3.6059E+11,828,181,1011,0.64,TRUE,36059,2
NY,3.6059E+11,368,67,437,0.6888,TRUE,36059,2
