"ED","CD","SD","AD","ADED"
10,11,26,46,"AD: 46 ED: 010"
45,10,26,52,"AD: 52 ED: 045"
28,8,25,55,"AD: 55 ED: 028"
67,9,20,56,"AD: 56 ED: 067"
14,11,26,46,"AD: 46 ED: 014"
50,11,17,49,"AD: 49 ED: 050"
49,9,19,58,"AD: 58 ED: 049"
8,7,59,50,"AD: 50 ED: 008"
30,11,17,46,"AD: 46 ED: 030"
58,8,22,59,"AD: 59 ED: 058"
55,8,22,41,"AD: 41 ED: 055"
43,8,19,60,"AD: 60 ED: 043"
25,10,26,52,"AD: 52 ED: 025"
55,9,20,43,"AD: 43 ED: 055"
28,8,25,56,"AD: 56 ED: 028"
52,8,22,59,"AD: 59 ED: 052"
48,8,21,59,"AD: 59 ED: 048"
58,8,22,41,"AD: 41 ED: 058"
23,9,22,48,"AD: 48 ED: 023"
74,8,26,57,"AD: 57 ED: 074"
69,8,22,41,"AD: 41 ED: 069"
28,11,17,46,"AD: 46 ED: 028"
71,9,21,44,"AD: 44 ED: 071"
36,10,26,52,"AD: 52 ED: 036"
61,8,22,59,"AD: 59 ED: 061"
66,9,20,57,"AD: 57 ED: 066"
56,8,21,59,"AD: 59 ED: 056"
32,9,21,58,"AD: 58 ED: 032"
55,8,22,59,"AD: 59 ED: 055"
39,8,23,46,"AD: 46 ED: 039"
44,8,22,41,"AD: 41 ED: 044"
30,8,25,57,"AD: 57 ED: 030"
28,11,17,47,"AD: 47 ED: 028"
40,10,20,44,"AD: 44 ED: 040"
3,8,25,55,"AD: 55 ED: 003"
46,7,18,54,"AD: 54 ED: 046"
47,8,22,41,"AD: 41 ED: 047"
36,11,17,47,"AD: 47 ED: 036"
14,11,17,47,"AD: 47 ED: 014"
28,9,22,48,"AD: 48 ED: 028"
3,11,26,46,"AD: 46 ED: 003"
9,10,17,51,"AD: 51 ED: 009"
19,8,22,45,"AD: 45 ED: 019"
19,11,26,46,"AD: 46 ED: 019"
9,9,22,45,"AD: 45 ED: 009"
40,8,22,41,"AD: 41 ED: 040"
31,7,18,53,"AD: 53 ED: 031"
1,11,17,49,"AD: 49 ED: 001"
33,9,20,43,"AD: 43 ED: 033"
84,10,20,52,"AD: 52 ED: 084"
4,10,26,51,"AD: 51 ED: 004"
20,9,22,41,"AD: 41 ED: 020"
13,7,59,50,"AD: 50 ED: 013"
9,9,25,44,"AD: 44 ED: 009"
18,7,18,53,"AD: 53 ED: 018"
28,11,17,49,"AD: 49 ED: 028"
32,10,20,44,"AD: 44 ED: 032"
2,7,18,53,"AD: 53 ED: 002"
56,8,23,46,"AD: 46 ED: 056"
53,7,59,50,"AD: 50 ED: 053"
18,8,19,59,"AD: 59 ED: 018"
8,11,17,47,"AD: 47 ED: 008"
62,8,23,46,"AD: 46 ED: 062"
15,10,26,52,"AD: 52 ED: 015"
45,7,19,60,"AD: 60 ED: 045"
43,10,17,44,"AD: 44 ED: 043"
59,10,26,52,"AD: 52 ED: 059"
53,9,21,42,"AD: 42 ED: 053"
23,9,17,47,"AD: 47 ED: 023"
30,11,17,49,"AD: 49 ED: 030"
67,8,23,46,"AD: 46 ED: 067"
27,11,17,47,"AD: 47 ED: 027"
52,9,21,42,"AD: 42 ED: 052"
34,9,21,42,"AD: 42 ED: 034"
63,8,23,41,"AD: 41 ED: 063"
61,10,26,52,"AD: 52 ED: 061"
40,7,18,54,"AD: 54 ED: 040"
57,8,22,59,"AD: 59 ED: 057"
8,8,19,60,"AD: 60 ED: 008"
37,8,21,59,"AD: 59 ED: 037"
45,8,23,45,"AD: 45 ED: 045"
42,8,25,56,"AD: 56 ED: 042"
30,8,21,59,"AD: 59 ED: 030"
11,8,25,55,"AD: 55 ED: 011"
51,8,25,56,"AD: 56 ED: 051"
5,11,26,46,"AD: 46 ED: 005"
36,9,22,41,"AD: 41 ED: 036"
16,11,17,49,"AD: 49 ED: 016"
37,11,17,49,"AD: 49 ED: 037"
53,9,20,43,"AD: 43 ED: 053"
79,11,26,64,"AD: 64 ED: 079"
40,8,19,59,"AD: 59 ED: 040"
60,8,22,59,"AD: 59 ED: 060"
13,11,26,46,"AD: 46 ED: 013"
12,9,20,58,"AD: 58 ED: 012"
20,7,19,54,"AD: 54 ED: 020"
41,10,20,44,"AD: 44 ED: 041"
7,10,26,52,"AD: 52 ED: 007"
1,11,26,46,"AD: 46 ED: 001"
60,8,23,46,"AD: 46 ED: 060"
31,8,25,57,"AD: 57 ED: 031"
84,11,26,64,"AD: 64 ED: 084"
26,9,21,42,"AD: 42 ED: 026"
52,9,20,55,"AD: 55 ED: 052"
30,8,22,45,"AD: 45 ED: 030"
42,10,26,52,"AD: 52 ED: 042"
52,8,22,41,"AD: 41 ED: 052"
3,9,22,48,"AD: 48 ED: 003"
45,9,21,42,"AD: 42 ED: 045"
38,11,17,49,"AD: 49 ED: 038"
41,8,23,45,"AD: 45 ED: 041"
57,9,20,55,"AD: 55 ED: 057"
49,8,23,46,"AD: 46 ED: 049"
35,11,26,49,"AD: 49 ED: 035"
11,10,17,49,"AD: 49 ED: 011"
64,10,26,52,"AD: 52 ED: 064"
29,7,59,50,"AD: 50 ED: 029"
13,8,25,55,"AD: 55 ED: 013"
28,7,18,53,"AD: 53 ED: 028"
1,8,19,59,"AD: 59 ED: 001"
28,8,23,45,"AD: 45 ED: 028"
44,10,17,44,"AD: 44 ED: 044"
40,7,18,53,"AD: 53 ED: 040"
7,8,19,60,"AD: 60 ED: 007"
68,8,20,56,"AD: 56 ED: 068"
50,8,25,55,"AD: 55 ED: 050"
2,11,26,46,"AD: 46 ED: 002"
54,8,21,59,"AD: 59 ED: 054"
82,11,26,64,"AD: 64 ED: 082"
76,10,17,44,"AD: 44 ED: 076"
25,11,26,46,"AD: 46 ED: 025"
58,9,21,42,"AD: 42 ED: 058"
51,8,23,45,"AD: 45 ED: 051"
50,8,21,59,"AD: 59 ED: 050"
9,10,17,49,"AD: 49 ED: 009"
26,11,26,46,"AD: 46 ED: 026"
11,7,25,57,"AD: 57 ED: 011"
38,9,21,42,"AD: 42 ED: 038"
26,11,17,47,"AD: 47 ED: 026"
46,8,21,59,"AD: 59 ED: 046"
63,10,26,52,"AD: 52 ED: 063"
17,8,25,56,"AD: 56 ED: 017"
30,11,26,47,"AD: 47 ED: 030"
34,8,17,46,"AD: 46 ED: 034"
38,8,25,56,"AD: 56 ED: 038"
11,10,26,51,"AD: 51 ED: 011"
51,8,25,57,"AD: 57 ED: 051"
2,10,17,51,"AD: 51 ED: 002"
2,7,59,50,"AD: 50 ED: 002"
21,10,26,52,"AD: 52 ED: 021"
11,11,26,46,"AD: 46 ED: 011"
46,9,20,44,"AD: 44 ED: 046"
50,7,18,53,"AD: 53 ED: 050"
83,10,20,52,"AD: 52 ED: 083"
1,10,26,51,"AD: 51 ED: 001"
56,9,20,57,"AD: 57 ED: 056"
25,10,20,44,"AD: 44 ED: 025"
42,10,20,51,"AD: 51 ED: 042"
60,7,18,50,"AD: 50 ED: 060"
10,8,25,55,"AD: 55 ED: 010"
26,9,22,41,"AD: 41 ED: 026"
37,11,17,47,"AD: 47 ED: 037"
23,11,26,46,"AD: 46 ED: 023"
57,7,18,50,"AD: 50 ED: 057"
3,11,26,47,"AD: 47 ED: 003"
27,8,19,60,"AD: 60 ED: 027"
4,11,26,46,"AD: 46 ED: 004"
53,8,19,58,"AD: 58 ED: 053"
44,8,21,59,"AD: 59 ED: 044"
17,8,19,60,"AD: 60 ED: 017"
22,11,26,46,"AD: 46 ED: 022"
35,11,17,47,"AD: 47 ED: 035"
9,10,26,52,"AD: 52 ED: 009"
65,8,22,59,"AD: 59 ED: 065"
70,9,21,44,"AD: 44 ED: 070"
54,7,18,54,"AD: 54 ED: 054"
16,10,26,51,"AD: 51 ED: 016"
14,8,25,56,"AD: 56 ED: 014"
22,7,59,50,"AD: 50 ED: 022"
12,10,17,49,"AD: 49 ED: 012"
43,8,25,56,"AD: 56 ED: 043"
17,11,26,46,"AD: 46 ED: 017"
58,7,18,53,"AD: 53 ED: 058"
18,10,26,44,"AD: 44 ED: 018"
19,9,21,48,"AD: 48 ED: 019"
19,9,22,47,"AD: 47 ED: 019"
47,10,17,51,"AD: 51 ED: 047"
36,9,21,42,"AD: 42 ED: 036"
37,10,20,44,"AD: 44 ED: 037"
26,9,21,59,"AD: 59 ED: 026"
22,9,17,49,"AD: 49 ED: 022"
36,8,21,59,"AD: 59 ED: 036"
16,10,26,52,"AD: 52 ED: 016"
49,8,21,59,"AD: 59 ED: 049"
17,9,21,42,"AD: 42 ED: 017"
49,9,21,42,"AD: 42 ED: 049"
28,9,22,41,"AD: 41 ED: 028"
41,9,22,41,"AD: 41 ED: 041"
66,8,22,59,"AD: 59 ED: 066"
17,7,26,57,"AD: 57 ED: 017"
44,8,25,56,"AD: 56 ED: 044"
43,9,22,48,"AD: 48 ED: 043"
7,8,25,55,"AD: 55 ED: 007"
41,8,23,46,"AD: 46 ED: 041"
35,10,26,51,"AD: 51 ED: 035"
67,9,21,44,"AD: 44 ED: 067"
15,9,19,58,"AD: 58 ED: 015"
38,10,20,44,"AD: 44 ED: 038"
22,9,22,41,"AD: 41 ED: 022"
40,8,19,60,"AD: 60 ED: 040"
31,7,18,54,"AD: 54 ED: 031"
43,8,23,45,"AD: 45 ED: 043"
38,8,19,55,"AD: 55 ED: 038"
55,9,25,55,"AD: 55 ED: 055"
14,10,26,51,"AD: 51 ED: 014"
22,10,26,44,"AD: 44 ED: 022"
35,8,23,46,"AD: 46 ED: 035"
43,11,17,49,"AD: 49 ED: 043"
2,7,25,57,"AD: 57 ED: 002"
16,11,17,47,"AD: 47 ED: 016"
34,10,26,51,"AD: 51 ED: 034"
42,8,22,41,"AD: 41 ED: 042"
7,11,17,47,"AD: 47 ED: 007"
1,8,19,60,"AD: 60 ED: 001"
6,11,26,46,"AD: 46 ED: 006"
37,9,21,58,"AD: 58 ED: 037"
81,11,26,64,"AD: 64 ED: 081"
15,7,18,53,"AD: 53 ED: 015"
26,10,26,57,"AD: 57 ED: 026"
26,11,17,49,"AD: 49 ED: 026"
58,8,23,46,"AD: 46 ED: 058"
21,7,59,50,"AD: 50 ED: 021"
44,9,20,43,"AD: 43 ED: 044"
21,9,20,43,"AD: 43 ED: 021"
13,11,17,47,"AD: 47 ED: 013"
88,10,26,52,"AD: 52 ED: 088"
47,8,21,59,"AD: 59 ED: 047"
49,8,23,41,"AD: 41 ED: 049"
17,11,17,49,"AD: 49 ED: 017"
7,10,17,49,"AD: 49 ED: 007"
16,7,26,57,"AD: 57 ED: 016"
19,7,26,52,"AD: 52 ED: 019"
52,8,23,45,"AD: 45 ED: 052"
12,8,19,59,"AD: 59 ED: 012"
40,11,26,49,"AD: 49 ED: 040"
51,8,21,59,"AD: 59 ED: 051"
36,10,26,51,"AD: 51 ED: 036"
42,7,18,54,"AD: 54 ED: 042"
77,11,26,64,"AD: 64 ED: 077"
10,8,19,60,"AD: 60 ED: 010"
39,8,23,41,"AD: 41 ED: 039"
4,8,19,59,"AD: 59 ED: 004"
1,9,22,45,"AD: 45 ED: 001"
32,7,18,54,"AD: 54 ED: 032"
19,10,26,51,"AD: 51 ED: 019"
5,9,21,42,"AD: 42 ED: 005"
41,8,21,59,"AD: 59 ED: 041"
28,10,20,44,"AD: 44 ED: 028"
45,10,20,44,"AD: 44 ED: 045"
2,11,17,47,"AD: 47 ED: 002"
23,8,19,60,"AD: 60 ED: 023"
52,10,17,51,"AD: 51 ED: 052"
33,11,17,47,"AD: 47 ED: 033"
18,11,17,49,"AD: 49 ED: 018"
40,9,21,42,"AD: 42 ED: 040"
1,9,21,41,"AD: 41 ED: 001"
4,7,25,56,"AD: 56 ED: 004"
2,9,20,58,"AD: 58 ED: 002"
17,10,26,51,"AD: 51 ED: 017"
52,10,26,52,"AD: 52 ED: 052"
80,11,26,64,"AD: 64 ED: 080"
69,8,25,56,"AD: 56 ED: 069"
53,8,23,46,"AD: 46 ED: 053"
57,9,20,57,"AD: 57 ED: 057"
33,11,17,49,"AD: 49 ED: 033"
3,7,25,57,"AD: 57 ED: 003"
11,9,20,58,"AD: 58 ED: 011"
42,8,23,47,"AD: 47 ED: 042"
10,7,26,52,"AD: 52 ED: 010"
10,8,25,56,"AD: 56 ED: 010"
48,9,21,42,"AD: 42 ED: 048"
30,7,18,53,"AD: 53 ED: 030"
2,7,25,52,"AD: 52 ED: 002"
23,8,25,56,"AD: 56 ED: 023"
4,7,25,57,"AD: 57 ED: 004"
50,8,23,41,"AD: 41 ED: 050"
13,9,21,42,"AD: 42 ED: 013"
41,11,26,49,"AD: 49 ED: 041"
26,8,25,56,"AD: 56 ED: 026"
21,10,26,44,"AD: 44 ED: 021"
79,10,20,52,"AD: 52 ED: 079"
12,7,26,52,"AD: 52 ED: 012"
46,8,23,45,"AD: 45 ED: 046"
65,8,23,46,"AD: 46 ED: 065"
57,8,19,58,"AD: 58 ED: 057"
23,7,59,50,"AD: 50 ED: 023"
34,8,25,56,"AD: 56 ED: 034"
16,9,21,41,"AD: 41 ED: 016"
7,9,20,43,"AD: 43 ED: 007"
2,9,21,41,"AD: 41 ED: 002"
12,8,25,56,"AD: 56 ED: 012"
53,9,20,55,"AD: 55 ED: 053"
80,10,20,52,"AD: 52 ED: 080"
23,9,22,41,"AD: 41 ED: 023"
21,9,17,47,"AD: 47 ED: 021"
59,8,23,46,"AD: 46 ED: 059"
4,11,17,47,"AD: 47 ED: 004"
6,7,59,50,"AD: 50 ED: 006"
45,8,22,41,"AD: 41 ED: 045"
46,9,19,55,"AD: 55 ED: 046"
12,9,21,42,"AD: 42 ED: 012"
10,9,20,58,"AD: 58 ED: 010"
43,8,25,57,"AD: 57 ED: 043"
54,9,21,42,"AD: 42 ED: 054"
78,9,20,44,"AD: 44 ED: 078"
68,8,25,57,"AD: 57 ED: 068"
25,11,17,49,"AD: 49 ED: 025"
5,7,25,56,"AD: 56 ED: 005"
24,11,17,49,"AD: 49 ED: 024"
39,8,21,59,"AD: 59 ED: 039"
34,9,21,41,"AD: 41 ED: 034"
60,7,18,53,"AD: 53 ED: 060"
75,9,17,44,"AD: 44 ED: 075"
19,9,21,41,"AD: 41 ED: 019"
64,8,23,46,"AD: 46 ED: 064"
45,10,22,48,"AD: 48 ED: 045"
85,11,26,64,"AD: 64 ED: 085"
24,9,21,59,"AD: 59 ED: 024"
34,7,18,50,"AD: 50 ED: 034"
54,8,23,46,"AD: 46 ED: 054"
49,9,17,49,"AD: 49 ED: 049"
6,8,19,60,"AD: 60 ED: 006"
15,8,25,56,"AD: 56 ED: 015"
29,10,26,51,"AD: 51 ED: 029"
7,7,19,54,"AD: 54 ED: 007"
22,7,18,53,"AD: 53 ED: 022"
56,8,22,41,"AD: 41 ED: 056"
21,10,26,51,"AD: 51 ED: 021"
41,8,25,55,"AD: 55 ED: 041"
40,8,25,56,"AD: 56 ED: 040"
66,8,23,41,"AD: 41 ED: 066"
20,8,25,55,"AD: 55 ED: 020"
22,9,21,42,"AD: 42 ED: 022"
28,8,25,57,"AD: 57 ED: 028"
7,11,26,46,"AD: 46 ED: 007"
37,7,18,54,"AD: 54 ED: 037"
55,8,19,60,"AD: 60 ED: 055"
45,8,21,59,"AD: 59 ED: 045"
40,8,19,55,"AD: 55 ED: 040"
40,10,26,52,"AD: 52 ED: 040"
4,10,22,48,"AD: 48 ED: 004"
45,9,20,43,"AD: 43 ED: 045"
38,8,23,46,"AD: 46 ED: 038"
19,11,17,49,"AD: 49 ED: 019"
19,10,26,44,"AD: 44 ED: 019"
17,11,17,47,"AD: 47 ED: 017"
27,11,26,46,"AD: 46 ED: 027"
34,7,18,53,"AD: 53 ED: 034"
42,8,23,46,"AD: 46 ED: 042"
36,9,21,58,"AD: 58 ED: 036"
3,7,59,50,"AD: 50 ED: 003"
47,8,23,45,"AD: 45 ED: 047"
5,7,25,57,"AD: 57 ED: 005"
42,8,21,59,"AD: 59 ED: 042"
43,10,26,51,"AD: 51 ED: 043"
89,10,26,52,"AD: 52 ED: 089"
39,11,17,49,"AD: 49 ED: 039"
48,8,23,46,"AD: 46 ED: 048"
33,8,22,45,"AD: 45 ED: 033"
3,10,26,51,"AD: 51 ED: 003"
17,7,19,55,"AD: 55 ED: 017"
66,10,26,52,"AD: 52 ED: 066"
36,8,25,56,"AD: 56 ED: 036"
50,9,17,47,"AD: 47 ED: 050"
68,8,23,46,"AD: 46 ED: 068"
24,8,19,60,"AD: 60 ED: 024"
4,8,25,44,"AD: 44 ED: 004"
65,10,26,52,"AD: 52 ED: 065"
22,8,25,56,"AD: 56 ED: 022"
39,9,20,43,"AD: 43 ED: 039"
19,8,25,55,"AD: 55 ED: 019"
15,11,26,46,"AD: 46 ED: 015"
47,8,25,57,"AD: 57 ED: 047"
11,8,19,60,"AD: 60 ED: 011"
12,10,20,44,"AD: 44 ED: 012"
4,8,19,54,"AD: 54 ED: 004"
16,9,21,42,"AD: 42 ED: 016"
21,11,23,46,"AD: 46 ED: 021"
47,8,25,56,"AD: 56 ED: 047"
19,8,25,56,"AD: 56 ED: 019"
62,8,25,55,"AD: 55 ED: 062"
54,8,22,45,"AD: 45 ED: 054"
6,10,26,52,"AD: 52 ED: 006"
49,8,23,45,"AD: 45 ED: 049"
40,8,17,47,"AD: 47 ED: 040"
51,10,22,49,"AD: 49 ED: 051"
41,8,25,56,"AD: 56 ED: 041"
2,8,19,59,"AD: 59 ED: 002"
32,8,19,60,"AD: 60 ED: 032"
61,8,22,41,"AD: 41 ED: 061"
38,7,18,54,"AD: 54 ED: 038"
46,10,17,51,"AD: 51 ED: 046"
36,8,23,46,"AD: 46 ED: 036"
20,10,26,44,"AD: 44 ED: 020"
48,8,25,57,"AD: 57 ED: 048"
43,10,26,52,"AD: 52 ED: 043"
44,8,19,60,"AD: 60 ED: 044"
51,7,18,50,"AD: 50 ED: 051"
55,8,23,46,"AD: 46 ED: 055"
18,9,21,41,"AD: 41 ED: 018"
16,10,20,44,"AD: 44 ED: 016"
33,8,21,59,"AD: 59 ED: 033"
66,8,23,46,"AD: 46 ED: 066"
33,8,19,60,"AD: 60 ED: 033"
45,11,17,47,"AD: 47 ED: 045"
21,9,21,42,"AD: 42 ED: 021"
18,8,19,60,"AD: 60 ED: 018"
26,7,59,50,"AD: 50 ED: 026"
73,7,26,57,"AD: 57 ED: 073"
43,9,21,58,"AD: 58 ED: 043"
47,10,22,48,"AD: 48 ED: 047"
48,10,22,48,"AD: 48 ED: 048"
72,9,21,44,"AD: 44 ED: 072"
24,9,22,41,"AD: 41 ED: 024"
26,10,26,52,"AD: 52 ED: 026"
50,9,20,43,"AD: 43 ED: 050"
46,10,26,52,"AD: 52 ED: 046"
52,8,19,60,"AD: 60 ED: 052"
37,8,19,60,"AD: 60 ED: 037"
54,8,19,60,"AD: 60 ED: 054"
60,8,23,41,"AD: 41 ED: 060"
23,11,17,49,"AD: 49 ED: 023"
75,11,26,64,"AD: 64 ED: 075"
33,10,20,44,"AD: 44 ED: 033"
15,11,17,49,"AD: 49 ED: 015"
52,8,25,56,"AD: 56 ED: 052"
23,9,20,43,"AD: 43 ED: 023"
61,9,21,44,"AD: 44 ED: 061"
51,9,21,42,"AD: 42 ED: 051"
18,11,26,46,"AD: 46 ED: 018"
41,10,26,52,"AD: 52 ED: 041"
6,8,19,59,"AD: 59 ED: 006"
25,11,17,47,"AD: 47 ED: 025"
38,9,21,58,"AD: 58 ED: 038"
40,10,20,51,"AD: 51 ED: 040"
33,7,18,54,"AD: 54 ED: 033"
64,9,21,44,"AD: 44 ED: 064"
43,11,17,47,"AD: 47 ED: 043"
35,8,25,56,"AD: 56 ED: 035"
57,7,18,54,"AD: 54 ED: 057"
63,8,25,55,"AD: 55 ED: 063"
53,11,17,47,"AD: 47 ED: 053"
44,9,21,58,"AD: 58 ED: 044"
16,9,22,45,"AD: 45 ED: 016"
21,8,19,55,"AD: 55 ED: 021"
8,10,26,51,"AD: 51 ED: 008"
13,8,22,45,"AD: 45 ED: 013"
47,9,17,44,"AD: 44 ED: 047"
78,11,17,64,"AD: 64 ED: 078"
30,10,26,52,"AD: 52 ED: 030"
1,10,25,44,"AD: 44 ED: 001"
36,10,20,44,"AD: 44 ED: 036"
53,8,20,56,"AD: 56 ED: 053"
12,8,19,60,"AD: 60 ED: 012"
9,8,25,56,"AD: 56 ED: 009"
19,9,21,42,"AD: 42 ED: 019"
21,8,19,60,"AD: 60 ED: 021"
33,9,21,41,"AD: 41 ED: 033"
6,10,25,44,"AD: 44 ED: 006"
52,7,18,53,"AD: 53 ED: 052"
22,10,26,52,"AD: 52 ED: 022"
13,8,19,59,"AD: 59 ED: 013"
21,9,17,49,"AD: 49 ED: 021"
20,8,23,45,"AD: 45 ED: 020"
42,9,21,42,"AD: 42 ED: 042"
50,10,26,52,"AD: 52 ED: 050"
54,10,20,44,"AD: 44 ED: 054"
38,8,25,57,"AD: 57 ED: 038"
74,9,20,44,"AD: 44 ED: 074"
57,8,22,41,"AD: 41 ED: 057"
17,10,26,44,"AD: 44 ED: 017"
30,8,19,55,"AD: 55 ED: 030"
56,9,20,44,"AD: 44 ED: 056"
32,7,18,50,"AD: 50 ED: 032"
38,9,20,43,"AD: 43 ED: 038"
50,8,23,46,"AD: 46 ED: 050"
50,9,19,58,"AD: 58 ED: 050"
33,9,22,48,"AD: 48 ED: 033"
24,9,22,48,"AD: 48 ED: 024"
57,9,20,43,"AD: 43 ED: 057"
47,9,20,43,"AD: 43 ED: 047"
50,7,18,54,"AD: 54 ED: 050"
7,7,25,57,"AD: 57 ED: 007"
60,9,20,57,"AD: 57 ED: 060"
65,9,21,44,"AD: 44 ED: 065"
30,9,20,43,"AD: 43 ED: 030"
11,8,19,54,"AD: 54 ED: 011"
46,8,23,46,"AD: 46 ED: 046"
48,9,17,44,"AD: 44 ED: 048"
28,10,26,51,"AD: 51 ED: 028"
55,8,22,45,"AD: 45 ED: 055"
37,9,20,43,"AD: 43 ED: 037"
73,8,23,46,"AD: 46 ED: 073"
49,8,19,60,"AD: 60 ED: 049"
43,8,22,41,"AD: 41 ED: 043"
24,8,25,55,"AD: 55 ED: 024"
34,8,19,60,"AD: 60 ED: 034"
65,7,59,50,"AD: 50 ED: 065"
20,9,17,47,"AD: 47 ED: 020"
87,10,17,64,"AD: 64 ED: 087"
12,11,17,47,"AD: 47 ED: 012"
48,8,23,45,"AD: 45 ED: 048"
42,8,23,45,"AD: 45 ED: 042"
71,8,23,46,"AD: 46 ED: 071"
18,10,26,51,"AD: 51 ED: 018"
39,7,18,53,"AD: 53 ED: 039"
63,8,19,59,"AD: 59 ED: 063"
3,9,22,45,"AD: 45 ED: 003"
53,7,18,53,"AD: 53 ED: 053"
25,9,22,48,"AD: 48 ED: 025"
30,9,22,41,"AD: 41 ED: 030"
35,9,22,48,"AD: 48 ED: 035"
32,9,21,59,"AD: 59 ED: 032"
26,10,26,51,"AD: 51 ED: 026"
47,8,25,55,"AD: 55 ED: 047"
9,8,19,60,"AD: 60 ED: 009"
14,10,26,52,"AD: 52 ED: 014"
8,11,26,46,"AD: 46 ED: 008"
81,10,20,44,"AD: 44 ED: 081"
38,10,26,51,"AD: 51 ED: 038"
59,9,20,57,"AD: 57 ED: 059"
29,8,21,59,"AD: 59 ED: 029"
26,7,18,54,"AD: 54 ED: 026"
56,8,19,58,"AD: 58 ED: 056"
21,8,25,56,"AD: 56 ED: 021"
59,8,22,59,"AD: 59 ED: 059"
31,9,20,43,"AD: 43 ED: 031"
64,9,21,58,"AD: 58 ED: 064"
65,9,20,56,"AD: 56 ED: 065"
2,10,22,49,"AD: 49 ED: 002"
68,10,26,52,"AD: 52 ED: 068"
29,9,20,43,"AD: 43 ED: 029"
24,8,23,45,"AD: 45 ED: 024"
27,9,22,41,"AD: 41 ED: 027"
1,7,25,57,"AD: 57 ED: 001"
28,8,19,60,"AD: 60 ED: 028"
15,8,25,55,"AD: 55 ED: 015"
5,10,22,48,"AD: 48 ED: 005"
35,8,23,45,"AD: 45 ED: 035"
39,10,26,51,"AD: 51 ED: 039"
23,8,25,55,"AD: 55 ED: 023"
17,9,21,41,"AD: 41 ED: 017"
67,8,23,41,"AD: 41 ED: 067"
15,9,20,44,"AD: 44 ED: 015"
46,11,17,47,"AD: 47 ED: 046"
27,8,25,56,"AD: 56 ED: 027"
23,7,18,54,"AD: 54 ED: 023"
45,9,21,58,"AD: 58 ED: 045"
79,10,25,44,"AD: 44 ED: 079"
40,8,23,46,"AD: 46 ED: 040"
57,8,23,46,"AD: 46 ED: 057"
63,9,20,57,"AD: 57 ED: 063"
3,9,21,41,"AD: 41 ED: 003"
24,7,18,53,"AD: 53 ED: 024"
42,10,22,44,"AD: 44 ED: 042"
9,7,59,50,"AD: 50 ED: 009"
30,8,19,60,"AD: 60 ED: 030"
20,11,26,49,"AD: 49 ED: 020"
37,9,21,42,"AD: 42 ED: 037"
8,8,25,55,"AD: 55 ED: 008"
24,10,20,44,"AD: 44 ED: 024"
41,9,20,43,"AD: 43 ED: 041"
45,8,25,57,"AD: 57 ED: 045"
7,7,59,50,"AD: 50 ED: 007"
4,9,22,45,"AD: 45 ED: 004"
45,8,25,55,"AD: 55 ED: 045"
66,9,21,44,"AD: 44 ED: 066"
65,9,20,43,"AD: 43 ED: 065"
68,9,21,44,"AD: 44 ED: 068"
35,8,19,60,"AD: 60 ED: 035"
7,9,20,58,"AD: 58 ED: 007"
6,11,17,47,"AD: 47 ED: 006"
23,8,23,45,"AD: 45 ED: 023"
13,9,22,48,"AD: 48 ED: 013"
18,10,26,52,"AD: 52 ED: 018"
44,8,23,46,"AD: 46 ED: 044"
48,9,17,47,"AD: 47 ED: 048"
44,10,17,51,"AD: 51 ED: 044"
63,8,23,46,"AD: 46 ED: 063"
23,10,26,51,"AD: 51 ED: 023"
25,7,25,57,"AD: 57 ED: 025"
46,8,19,60,"AD: 60 ED: 046"
5,11,17,47,"AD: 47 ED: 005"
47,10,17,49,"AD: 49 ED: 047"
20,10,26,51,"AD: 51 ED: 020"
71,10,26,52,"AD: 52 ED: 071"
31,10,20,44,"AD: 44 ED: 031"
13,8,19,60,"AD: 60 ED: 013"
43,7,18,54,"AD: 54 ED: 043"
1,9,20,43,"AD: 43 ED: 001"
51,8,23,41,"AD: 41 ED: 051"
38,8,23,41,"AD: 41 ED: 038"
56,9,22,42,"AD: 42 ED: 056"
15,9,22,48,"AD: 48 ED: 015"
33,10,26,52,"AD: 52 ED: 033"
11,9,21,41,"AD: 41 ED: 011"
45,10,17,49,"AD: 49 ED: 045"
20,9,21,48,"AD: 48 ED: 020"
26,9,21,58,"AD: 58 ED: 026"
46,8,25,57,"AD: 57 ED: 046"
48,8,19,58,"AD: 58 ED: 048"
57,9,22,42,"AD: 42 ED: 057"
29,10,26,52,"AD: 52 ED: 029"
38,8,21,59,"AD: 59 ED: 038"
25,9,22,41,"AD: 41 ED: 025"
27,7,59,50,"AD: 50 ED: 027"
48,10,26,52,"AD: 52 ED: 048"
68,8,22,41,"AD: 41 ED: 068"
38,8,22,45,"AD: 45 ED: 038"
43,8,21,59,"AD: 59 ED: 043"
64,8,23,41,"AD: 41 ED: 064"
36,7,18,54,"AD: 54 ED: 036"
12,9,20,43,"AD: 43 ED: 012"
9,11,17,47,"AD: 47 ED: 009"
15,7,26,57,"AD: 57 ED: 015"
29,11,17,49,"AD: 49 ED: 029"
9,7,25,57,"AD: 57 ED: 009"
47,8,23,46,"AD: 46 ED: 047"
33,7,18,50,"AD: 50 ED: 033"
73,10,25,52,"AD: 52 ED: 073"
58,8,19,58,"AD: 58 ED: 058"
62,10,26,52,"AD: 52 ED: 062"
7,9,21,42,"AD: 42 ED: 007"
25,7,59,50,"AD: 50 ED: 025"
55,9,21,42,"AD: 42 ED: 055"
