"ED","CD","SD","AD","ADED"
4,14,34,82,"AD: 82 ED: 004"
21,15,33,81,"AD: 81 ED: 021"
35,15,36,80,"AD: 80 ED: 035"
1,15,29,77,"AD: 77 ED: 001"
1,14,29,85,"AD: 85 ED: 001"
48,15,29,84,"AD: 84 ED: 048"
3,15,33,78,"AD: 78 ED: 003"
7,15,29,84,"AD: 84 ED: 007"
35,14,32,85,"AD: 85 ED: 035"
23,14,34,87,"AD: 87 ED: 023"
28,14,32,85,"AD: 85 ED: 028"
1,15,32,79,"AD: 79 ED: 001"
40,14,32,85,"AD: 85 ED: 040"
25,14,34,82,"AD: 82 ED: 025"
46,15,32,79,"AD: 79 ED: 046"
48,15,33,80,"AD: 80 ED: 048"
15,15,32,78,"AD: 78 ED: 015"
45,15,36,81,"AD: 81 ED: 045"
10,14,34,87,"AD: 87 ED: 010"
42,13,33,78,"AD: 78 ED: 042"
1,15,32,87,"AD: 87 ED: 001"
34,15,36,80,"AD: 80 ED: 034"
26,15,33,81,"AD: 81 ED: 026"
47,15,33,81,"AD: 81 ED: 047"
13,14,34,82,"AD: 82 ED: 013"
9,15,36,83,"AD: 83 ED: 009"
39,15,32,86,"AD: 86 ED: 039"
21,15,36,83,"AD: 83 ED: 021"
6,13,31,86,"AD: 86 ED: 006"
25,15,33,81,"AD: 81 ED: 025"
23,15,33,77,"AD: 77 ED: 023"
49,15,32,86,"AD: 86 ED: 049"
40,15,32,86,"AD: 86 ED: 040"
22,15,33,81,"AD: 81 ED: 022"
3,13,31,81,"AD: 81 ED: 003"
26,15,31,77,"AD: 77 ED: 026"
10,13,31,81,"AD: 81 ED: 010"
32,14,32,85,"AD: 85 ED: 032"
41,15,36,80,"AD: 80 ED: 041"
2,15,31,86,"AD: 86 ED: 002"
46,14,32,85,"AD: 85 ED: 046"
47,15,32,77,"AD: 77 ED: 047"
32,15,33,86,"AD: 86 ED: 032"
38,15,36,80,"AD: 80 ED: 038"
35,15,33,81,"AD: 81 ED: 035"
3,15,32,84,"AD: 84 ED: 003"
17,15,32,79,"AD: 79 ED: 017"
42,14,32,85,"AD: 85 ED: 042"
11,15,33,86,"AD: 86 ED: 011"
22,15,32,79,"AD: 79 ED: 022"
33,15,29,84,"AD: 84 ED: 033"
53,15,29,84,"AD: 84 ED: 053"
44,13,31,78,"AD: 78 ED: 044"
49,14,34,87,"AD: 87 ED: 049"
27,14,29,85,"AD: 85 ED: 027"
14,15,33,81,"AD: 81 ED: 014"
13,15,32,79,"AD: 79 ED: 013"
28,15,32,79,"AD: 79 ED: 028"
19,13,33,78,"AD: 78 ED: 019"
59,16,36,82,"AD: 82 ED: 059"
51,14,29,85,"AD: 85 ED: 051"
1,15,32,84,"AD: 84 ED: 001"
26,14,32,79,"AD: 79 ED: 026"
10,14,34,82,"AD: 82 ED: 010"
15,15,36,83,"AD: 83 ED: 015"
23,13,31,86,"AD: 86 ED: 023"
43,15,36,80,"AD: 80 ED: 043"
17,15,29,84,"AD: 84 ED: 017"
12,15,33,80,"AD: 80 ED: 012"
19,14,34,85,"AD: 85 ED: 019"
26,14,32,85,"AD: 85 ED: 026"
27,14,34,82,"AD: 82 ED: 027"
38,15,32,86,"AD: 86 ED: 038"
36,15,32,79,"AD: 79 ED: 036"
9,15,29,84,"AD: 84 ED: 009"
26,14,34,87,"AD: 87 ED: 026"
50,15,33,81,"AD: 81 ED: 050"
38,16,36,83,"AD: 83 ED: 038"
21,15,29,84,"AD: 84 ED: 021"
18,14,34,82,"AD: 82 ED: 018"
48,14,32,79,"AD: 79 ED: 048"
50,14,34,87,"AD: 87 ED: 050"
57,15,33,80,"AD: 80 ED: 057"
48,15,33,81,"AD: 81 ED: 048"
42,15,36,80,"AD: 80 ED: 042"
47,14,34,87,"AD: 87 ED: 047"
17,15,36,83,"AD: 83 ED: 017"
33,15,32,85,"AD: 85 ED: 033"
51,14,29,84,"AD: 84 ED: 051"
48,15,32,77,"AD: 77 ED: 048"
7,14,34,85,"AD: 85 ED: 007"
43,15,29,84,"AD: 84 ED: 043"
12,15,36,83,"AD: 83 ED: 012"
35,13,31,78,"AD: 78 ED: 035"
13,15,31,77,"AD: 77 ED: 013"
38,15,32,79,"AD: 79 ED: 038"
36,15,32,77,"AD: 77 ED: 036"
34,15,36,83,"AD: 83 ED: 034"
36,14,32,85,"AD: 85 ED: 036"
49,14,34,85,"AD: 85 ED: 049"
30,14,34,87,"AD: 87 ED: 030"
17,13,33,86,"AD: 86 ED: 017"
9,13,31,86,"AD: 86 ED: 009"
29,15,36,80,"AD: 80 ED: 029"
9,14,34,82,"AD: 82 ED: 009"
7,13,33,86,"AD: 86 ED: 007"
24,14,36,80,"AD: 80 ED: 024"
52,15,36,81,"AD: 81 ED: 052"
42,15,36,81,"AD: 81 ED: 042"
15,15,33,80,"AD: 80 ED: 015"
37,16,36,83,"AD: 83 ED: 037"
48,14,32,85,"AD: 85 ED: 048"
34,14,32,85,"AD: 85 ED: 034"
1,15,32,78,"AD: 78 ED: 001"
24,14,32,84,"AD: 84 ED: 024"
56,15,29,79,"AD: 79 ED: 056"
44,15,32,79,"AD: 79 ED: 044"
34,14,34,87,"AD: 87 ED: 034"
58,16,36,82,"AD: 82 ED: 058"
4,15,29,84,"AD: 84 ED: 004"
49,15,33,80,"AD: 80 ED: 049"
13,15,33,80,"AD: 80 ED: 013"
3,14,34,85,"AD: 85 ED: 003"
37,15,32,79,"AD: 79 ED: 037"
41,14,32,85,"AD: 85 ED: 041"
41,15,32,79,"AD: 79 ED: 041"
6,15,32,79,"AD: 79 ED: 006"
11,15,29,77,"AD: 77 ED: 011"
38,14,33,82,"AD: 82 ED: 038"
37,15,32,77,"AD: 77 ED: 037"
32,15,29,84,"AD: 84 ED: 032"
52,16,36,82,"AD: 82 ED: 052"
19,15,33,81,"AD: 81 ED: 019"
38,14,29,85,"AD: 85 ED: 038"
2,15,29,84,"AD: 84 ED: 002"
20,15,33,81,"AD: 81 ED: 020"
57,14,29,84,"AD: 84 ED: 057"
40,15,32,79,"AD: 79 ED: 040"
22,14,34,87,"AD: 87 ED: 022"
38,13,33,78,"AD: 78 ED: 038"
49,15,32,79,"AD: 79 ED: 049"
40,13,33,78,"AD: 78 ED: 040"
37,14,29,84,"AD: 84 ED: 037"
52,16,36,83,"AD: 83 ED: 052"
7,14,34,82,"AD: 82 ED: 007"
14,14,34,87,"AD: 87 ED: 014"
21,15,33,77,"AD: 77 ED: 021"
23,15,32,79,"AD: 79 ED: 023"
40,15,33,81,"AD: 81 ED: 040"
50,16,36,82,"AD: 82 ED: 050"
6,13,31,81,"AD: 81 ED: 006"
31,14,34,87,"AD: 87 ED: 031"
16,15,32,79,"AD: 79 ED: 016"
58,15,36,81,"AD: 81 ED: 058"
29,15,32,79,"AD: 79 ED: 029"
30,13,33,78,"AD: 78 ED: 030"
18,15,36,83,"AD: 83 ED: 018"
24,14,34,85,"AD: 85 ED: 024"
34,15,32,79,"AD: 79 ED: 034"
13,15,36,83,"AD: 83 ED: 013"
48,15,32,86,"AD: 86 ED: 048"
32,15,36,83,"AD: 83 ED: 032"
11,14,34,87,"AD: 87 ED: 011"
39,15,33,80,"AD: 80 ED: 039"
31,15,36,80,"AD: 80 ED: 031"
20,14,34,82,"AD: 82 ED: 020"
11,15,33,80,"AD: 80 ED: 011"
49,15,29,84,"AD: 84 ED: 049"
34,15,32,86,"AD: 86 ED: 034"
39,14,34,82,"AD: 82 ED: 039"
54,16,36,82,"AD: 82 ED: 054"
33,14,34,82,"AD: 82 ED: 033"
21,14,34,82,"AD: 82 ED: 021"
43,14,34,82,"AD: 82 ED: 043"
49,15,33,81,"AD: 81 ED: 049"
29,15,36,83,"AD: 83 ED: 029"
23,13,33,78,"AD: 78 ED: 023"
21,14,34,80,"AD: 80 ED: 021"
3,15,36,83,"AD: 83 ED: 003"
46,16,36,82,"AD: 82 ED: 046"
30,14,32,85,"AD: 85 ED: 030"
52,14,34,87,"AD: 87 ED: 052"
10,15,33,80,"AD: 80 ED: 010"
26,13,31,86,"AD: 86 ED: 026"
30,15,36,83,"AD: 83 ED: 030"
30,15,36,80,"AD: 80 ED: 030"
47,15,33,80,"AD: 80 ED: 047"
13,14,34,85,"AD: 85 ED: 013"
28,14,29,84,"AD: 84 ED: 028"
10,15,29,77,"AD: 77 ED: 010"
41,16,36,83,"AD: 83 ED: 041"
17,14,34,85,"AD: 85 ED: 017"
31,15,33,81,"AD: 81 ED: 031"
37,15,32,86,"AD: 86 ED: 037"
14,14,34,82,"AD: 82 ED: 014"
47,13,31,78,"AD: 78 ED: 047"
46,16,36,83,"AD: 83 ED: 046"
31,15,36,83,"AD: 83 ED: 031"
25,14,29,84,"AD: 84 ED: 025"
11,15,29,84,"AD: 84 ED: 011"
40,15,32,77,"AD: 77 ED: 040"
16,15,33,81,"AD: 81 ED: 016"
44,15,33,80,"AD: 80 ED: 044"
2,15,32,87,"AD: 87 ED: 002"
31,15,33,86,"AD: 86 ED: 031"
46,13,31,78,"AD: 78 ED: 046"
9,13,31,81,"AD: 81 ED: 009"
12,14,34,87,"AD: 87 ED: 012"
15,14,34,87,"AD: 87 ED: 015"
41,13,33,78,"AD: 78 ED: 041"
5,14,34,85,"AD: 85 ED: 005"
29,14,32,85,"AD: 85 ED: 029"
34,14,34,82,"AD: 82 ED: 034"
1,14,34,82,"AD: 82 ED: 001"
23,14,32,84,"AD: 84 ED: 023"
22,13,33,78,"AD: 78 ED: 022"
5,15,29,84,"AD: 84 ED: 005"
18,13,33,86,"AD: 86 ED: 018"
31,14,34,82,"AD: 82 ED: 031"
50,15,29,84,"AD: 84 ED: 050"
34,15,33,81,"AD: 81 ED: 034"
43,14,34,87,"AD: 87 ED: 043"
45,13,33,78,"AD: 78 ED: 045"
24,13,31,86,"AD: 86 ED: 024"
7,15,36,83,"AD: 83 ED: 007"
50,16,36,83,"AD: 83 ED: 050"
19,15,32,79,"AD: 79 ED: 019"
4,15,34,80,"AD: 80 ED: 004"
19,15,33,80,"AD: 80 ED: 019"
3,14,34,82,"AD: 82 ED: 003"
47,14,34,85,"AD: 85 ED: 047"
17,15,31,81,"AD: 81 ED: 017"
39,16,36,83,"AD: 83 ED: 039"
14,14,34,85,"AD: 85 ED: 014"
20,13,33,78,"AD: 78 ED: 020"
12,14,34,85,"AD: 85 ED: 012"
54,13,33,80,"AD: 80 ED: 054"
16,14,34,85,"AD: 85 ED: 016"
52,15,32,77,"AD: 77 ED: 052"
10,15,32,79,"AD: 79 ED: 010"
23,15,36,83,"AD: 83 ED: 023"
6,15,29,84,"AD: 84 ED: 006"
36,15,32,86,"AD: 86 ED: 036"
8,15,36,83,"AD: 83 ED: 008"
36,15,36,83,"AD: 83 ED: 036"
4,14,34,85,"AD: 85 ED: 004"
61,16,36,82,"AD: 82 ED: 061"
28,15,36,83,"AD: 83 ED: 028"
25,14,34,87,"AD: 87 ED: 025"
6,15,32,87,"AD: 87 ED: 006"
53,15,33,80,"AD: 80 ED: 053"
18,15,33,80,"AD: 80 ED: 018"
44,14,34,87,"AD: 87 ED: 044"
36,14,34,82,"AD: 82 ED: 036"
4,15,33,78,"AD: 78 ED: 004"
44,16,36,83,"AD: 83 ED: 044"
49,15,32,77,"AD: 77 ED: 049"
41,15,36,81,"AD: 81 ED: 041"
2,15,32,79,"AD: 79 ED: 002"
2,14,34,82,"AD: 82 ED: 002"
15,14,34,85,"AD: 85 ED: 015"
40,14,34,82,"AD: 82 ED: 040"
10,15,36,83,"AD: 83 ED: 010"
18,15,36,81,"AD: 81 ED: 018"
14,15,31,77,"AD: 77 ED: 014"
43,13,31,78,"AD: 78 ED: 043"
24,15,32,79,"AD: 79 ED: 024"
2,14,29,85,"AD: 85 ED: 002"
44,15,36,81,"AD: 81 ED: 044"
37,14,34,87,"AD: 87 ED: 037"
44,14,32,85,"AD: 85 ED: 044"
17,13,31,77,"AD: 77 ED: 017"
22,14,36,80,"AD: 80 ED: 022"
3,15,32,87,"AD: 87 ED: 003"
41,14,29,84,"AD: 84 ED: 041"
5,15,36,83,"AD: 83 ED: 005"
2,14,33,80,"AD: 80 ED: 002"
8,15,33,80,"AD: 80 ED: 008"
29,14,34,87,"AD: 87 ED: 029"
29,13,33,86,"AD: 86 ED: 029"
28,14,34,82,"AD: 82 ED: 028"
33,15,33,80,"AD: 80 ED: 033"
51,15,33,81,"AD: 81 ED: 051"
30,13,33,86,"AD: 86 ED: 030"
47,15,29,84,"AD: 84 ED: 047"
18,15,29,84,"AD: 84 ED: 018"
7,15,32,87,"AD: 87 ED: 007"
53,16,36,83,"AD: 83 ED: 053"
2,15,36,83,"AD: 83 ED: 002"
1,15,36,83,"AD: 83 ED: 001"
19,13,33,86,"AD: 86 ED: 019"
51,15,29,79,"AD: 79 ED: 051"
40,14,29,84,"AD: 84 ED: 040"
33,13,31,78,"AD: 78 ED: 033"
8,15,33,78,"AD: 78 ED: 008"
9,15,33,78,"AD: 78 ED: 009"
51,16,36,83,"AD: 83 ED: 051"
57,16,36,82,"AD: 82 ED: 057"
2,13,31,81,"AD: 81 ED: 002"
4,16,36,83,"AD: 83 ED: 004"
41,15,32,86,"AD: 86 ED: 041"
40,15,36,83,"AD: 83 ED: 040"
44,15,29,84,"AD: 84 ED: 044"
17,13,33,78,"AD: 78 ED: 017"
56,16,36,82,"AD: 82 ED: 056"
14,13,33,78,"AD: 78 ED: 014"
38,14,29,84,"AD: 84 ED: 038"
12,14,34,82,"AD: 82 ED: 012"
13,15,29,84,"AD: 84 ED: 013"
20,15,32,84,"AD: 84 ED: 020"
22,14,29,84,"AD: 84 ED: 022"
55,16,36,82,"AD: 82 ED: 055"
5,13,31,86,"AD: 86 ED: 005"
21,13,33,78,"AD: 78 ED: 021"
42,15,29,84,"AD: 84 ED: 042"
37,13,31,78,"AD: 78 ED: 037"
26,14,34,82,"AD: 82 ED: 026"
46,14,34,87,"AD: 87 ED: 046"
47,15,32,86,"AD: 86 ED: 047"
45,14,32,85,"AD: 85 ED: 045"
39,14,29,84,"AD: 84 ED: 039"
5,15,29,77,"AD: 77 ED: 005"
22,15,33,77,"AD: 77 ED: 022"
51,16,36,82,"AD: 82 ED: 051"
53,13,31,81,"AD: 81 ED: 053"
37,14,32,85,"AD: 85 ED: 037"
9,14,33,80,"AD: 80 ED: 009"
55,14,29,84,"AD: 84 ED: 055"
4,13,31,81,"AD: 81 ED: 004"
22,13,31,86,"AD: 86 ED: 022"
46,15,32,86,"AD: 86 ED: 046"
46,15,33,81,"AD: 81 ED: 046"
54,15,36,83,"AD: 83 ED: 054"
14,15,33,86,"AD: 86 ED: 014"
24,15,33,78,"AD: 78 ED: 024"
47,16,36,83,"AD: 83 ED: 047"
1,14,33,80,"AD: 80 ED: 001"
56,15,33,80,"AD: 80 ED: 056"
7,15,33,78,"AD: 78 ED: 007"
43,15,32,79,"AD: 79 ED: 043"
50,15,32,86,"AD: 86 ED: 050"
37,15,36,80,"AD: 80 ED: 037"
46,15,29,84,"AD: 84 ED: 046"
57,14,32,79,"AD: 79 ED: 057"
26,13,33,78,"AD: 78 ED: 026"
12,15,33,86,"AD: 86 ED: 012"
25,15,32,79,"AD: 79 ED: 025"
5,15,32,79,"AD: 79 ED: 005"
29,15,33,81,"AD: 81 ED: 029"
16,15,36,83,"AD: 83 ED: 016"
51,15,29,77,"AD: 77 ED: 051"
39,15,32,77,"AD: 77 ED: 039"
7,15,36,80,"AD: 80 ED: 007"
35,15,36,83,"AD: 83 ED: 035"
8,15,29,84,"AD: 84 ED: 008"
33,15,32,77,"AD: 77 ED: 033"
18,14,34,87,"AD: 87 ED: 018"
19,13,31,77,"AD: 77 ED: 019"
48,16,36,82,"AD: 82 ED: 048"
27,14,34,87,"AD: 87 ED: 027"
8,15,32,85,"AD: 85 ED: 008"
4,13,31,86,"AD: 86 ED: 004"
31,13,33,78,"AD: 78 ED: 031"
5,13,31,81,"AD: 81 ED: 005"
38,15,33,81,"AD: 81 ED: 038"
14,15,29,84,"AD: 84 ED: 014"
25,13,33,80,"AD: 80 ED: 025"
16,13,33,86,"AD: 86 ED: 016"
34,14,29,84,"AD: 84 ED: 034"
17,14,34,87,"AD: 87 ED: 017"
33,15,36,83,"AD: 83 ED: 033"
12,13,33,78,"AD: 78 ED: 012"
23,14,36,80,"AD: 80 ED: 023"
23,14,34,85,"AD: 85 ED: 023"
3,15,29,77,"AD: 77 ED: 003"
25,13,31,86,"AD: 86 ED: 025"
20,15,36,83,"AD: 83 ED: 020"
30,14,29,84,"AD: 84 ED: 030"
50,15,32,77,"AD: 77 ED: 050"
42,14,34,87,"AD: 87 ED: 042"
29,14,29,84,"AD: 84 ED: 029"
25,14,32,85,"AD: 85 ED: 025"
26,15,36,83,"AD: 83 ED: 026"
21,14,34,85,"AD: 85 ED: 021"
20,13,31,77,"AD: 77 ED: 020"
27,15,36,83,"AD: 83 ED: 027"
12,15,29,77,"AD: 77 ED: 012"
40,15,33,80,"AD: 80 ED: 040"
53,15,29,79,"AD: 79 ED: 053"
45,15,33,86,"AD: 86 ED: 045"
5,15,33,80,"AD: 80 ED: 005"
9,14,34,87,"AD: 87 ED: 009"
38,15,32,77,"AD: 77 ED: 038"
53,15,29,77,"AD: 77 ED: 053"
36,15,36,80,"AD: 80 ED: 036"
38,14,34,87,"AD: 87 ED: 038"
5,14,34,82,"AD: 82 ED: 005"
12,15,32,79,"AD: 79 ED: 012"
42,15,36,83,"AD: 83 ED: 042"
29,15,29,77,"AD: 77 ED: 029"
55,15,36,83,"AD: 83 ED: 055"
9,15,32,79,"AD: 79 ED: 009"
25,13,31,77,"AD: 77 ED: 025"
19,15,36,83,"AD: 83 ED: 019"
24,15,36,81,"AD: 81 ED: 024"
34,13,31,78,"AD: 78 ED: 034"
45,16,36,83,"AD: 83 ED: 045"
27,14,29,84,"AD: 84 ED: 027"
16,15,33,78,"AD: 78 ED: 016"
31,14,29,84,"AD: 84 ED: 031"
34,15,32,77,"AD: 77 ED: 034"
25,15,33,78,"AD: 78 ED: 025"
13,14,34,87,"AD: 87 ED: 013"
33,13,33,86,"AD: 86 ED: 033"
36,13,31,78,"AD: 78 ED: 036"
20,13,31,86,"AD: 86 ED: 020"
24,14,34,82,"AD: 82 ED: 024"
50,15,36,80,"AD: 80 ED: 050"
46,15,33,80,"AD: 80 ED: 046"
36,15,33,81,"AD: 81 ED: 036"
19,15,29,84,"AD: 84 ED: 019"
8,15,32,79,"AD: 79 ED: 008"
10,15,29,84,"AD: 84 ED: 010"
31,15,32,77,"AD: 77 ED: 031"
6,15,33,78,"AD: 78 ED: 006"
24,15,36,83,"AD: 83 ED: 024"
32,15,33,80,"AD: 80 ED: 032"
28,14,34,87,"AD: 87 ED: 028"
7,13,31,81,"AD: 81 ED: 007"
15,13,33,86,"AD: 86 ED: 015"
35,14,34,82,"AD: 82 ED: 035"
23,15,33,81,"AD: 81 ED: 023"
57,16,36,83,"AD: 83 ED: 057"
8,13,31,81,"AD: 81 ED: 008"
